ChrName	Start	End	Value	Color	Label
1	5000001	10000000	0.0523635988509		
1	10000001	15000000	0.0871866775226		
1	20000001	25000000	0.40724176367		
1	25000001	30000000	0.107700234938		
1	35000001	40000000	0.901198877952		
1	40000001	45000000	0.0381536661023		
1	45000001	50000000	0.536202040034		
1	30000001	35000000	0.33219769851		
1	50000001	55000000	0.852086618929		
1	1	5000000	0.159662396722		
1	15000001	20000000	0.337216657109		
1	55000001	60000000	0.333796394629		
1	60000001	65000000	0.245163352518		
1	75000001	80000000	0.00167055357922		
1	85000001	90000000	0.436275793415		
1	80000001	85000000	0.0876134997504		
1	90000001	95000000	0.597599464488		
1	105000001	110000000	0.0698769614592		
1	125000001	130000000	0.315458973736		
1	130000001	135000000	0.448321708307		
1	95000001	100000000	0.905398652284		
1	65000001	70000000	0.0927645613785		
1	70000001	75000000	0.142175064432		
1	135000001	140000000	0.790071844359		
1	110000001	115000000	0.021235974817		
1	100000001	105000000	0.91115054809		
1	115000001	120000000	0.573408085681		
1	155000001	160000000	0.265321705262		
1	170000001	175000000	0.837837644195		
1	175000001	180000000	0.76879474748		
1	140000001	145000000	0.343462158156		
1	185000001	190000000	0.801496591292		
1	150000001	155000000	0.206862470666		
1	165000001	170000000	0.608902526191		
1	180000001	185000000	0.527074952161		
1	145000001	150000000	0.809338524644		
1	160000001	165000000	0.315263152216		
1	190000001	195000000	0.398238151468		
1	120000001	125000000	0.769279089914		
1	200000001	205000000	0.512752133864		
1	205000001	210000000	0.684837218661		
1	215000001	220000000	0.638353264305		
1	220000001	225000000	0.666657631073		
1	230000001	235000000	0.890098570537		
1	195000001	200000000	0.486136470144		
1	235000001	240000000	0.668470221903		
1	210000001	215000000	0.374521631822		
1	225000001	230000000	0.0318413067411		
1	240000001	245000000	0.754173171859		
1	245000001	249250621	0.181464915915		
2	1	5000000	0.820190184434		
2	5000001	10000000	0.913645911864		
2	10000001	15000000	0.658074157401		
2	20000001	25000000	0.170126887671		
2	50000001	55000000	0.336916152792		
2	15000001	20000000	0.391193307071		
2	25000001	30000000	0.0732907781237		
2	45000001	50000000	0.456767070201		
2	40000001	45000000	0.573168514511		
2	30000001	35000000	0.33610609931		
2	35000001	40000000	0.189061869578		
2	55000001	60000000	0.0881572949261		
2	60000001	65000000	0.628317522731		
2	65000001	70000000	0.0128291092526		
2	70000001	75000000	0.351913683098		
2	75000001	80000000	0.22912976448		
2	110000001	115000000	0.531997490682		
2	100000001	105000000	0.723663351119		
2	80000001	85000000	0.909153275637		
2	95000001	100000000	0.638800839243		
2	105000001	110000000	0.991793099752		
2	115000001	120000000	0.964059172304		
2	85000001	90000000	0.629990709724		
2	120000001	125000000	0.233373184086		
2	125000001	130000000	0.483811482643		
2	135000001	140000000	0.177589730574		
2	140000001	145000000	0.991957772794		
2	145000001	150000000	0.444499920149		
2	150000001	155000000	0.751650158028		
2	90000001	95000000	0.0441298560064		
2	155000001	160000000	0.134727600637		
2	160000001	165000000	0.193176970042		
2	165000001	170000000	0.256362347297		
2	170000001	175000000	0.35204753045		
2	175000001	180000000	0.271929852327		
2	180000001	185000000	0.434268583613		
2	130000001	135000000	0.420357316735		
2	200000001	205000000	0.108620834482		
2	185000001	190000000	0.0626087748283		
2	190000001	195000000	0.355061446928		
2	205000001	210000000	0.0887889048674		
2	195000001	200000000	0.433200313877		
2	210000001	215000000	0.00856121477287		
2	215000001	220000000	0.535801018607		
2	220000001	225000000	0.0734839927151		
2	225000001	230000000	0.694205914699		
2	230000001	235000000	0.404207267084		
2	240000001	243199373	0.985348174888		
2	235000001	240000000	0.262540019719		
3	10000001	15000000	0.472510740407		
3	5000001	10000000	0.750814941239		
3	1	5000000	0.334830540523		
3	15000001	20000000	0.348367020665		
3	25000001	30000000	0.639127937228		
3	20000001	25000000	0.969686077266		
3	30000001	35000000	0.883880138123		
3	35000001	40000000	0.419037819387		
3	40000001	45000000	0.717717907352		
3	45000001	50000000	0.679051951647		
3	50000001	55000000	0.372109619295		
3	55000001	60000000	0.234963437498		
3	90000001	95000000	0.0783764781412		
3	60000001	65000000	0.878908936884		
3	70000001	75000000	0.0571592134093		
3	65000001	70000000	0.518696124756		
3	85000001	90000000	0.537536377506		
3	75000001	80000000	0.146139233662		
3	80000001	85000000	0.655931716952		
3	100000001	105000000	0.915823193574		
3	95000001	100000000	0.776132969824		
3	105000001	110000000	0.389259266619		
3	110000001	115000000	0.126469958834		
3	115000001	120000000	0.974929566217		
3	120000001	125000000	0.517103486654		
3	125000001	130000000	0.629617625228		
3	130000001	135000000	0.802276645521		
3	135000001	140000000	0.386246162893		
3	140000001	145000000	0.0620557646555		
3	145000001	150000000	0.136015791109		
3	150000001	155000000	0.668447137033		
3	155000001	160000000	0.34953968562		
3	160000001	165000000	0.871077207762		
3	165000001	170000000	0.740164508821		
3	170000001	175000000	0.98043914669		
3	175000001	180000000	0.668834354364		
3	195000001	198022430	0.303805779137		
3	185000001	190000000	0.791109157907		
3	180000001	185000000	0.0282580342783		
3	190000001	195000000	0.521590771711		
4	10000001	15000000	0.8713946679		
4	1	5000000	0.514719140206		
4	5000001	10000000	0.137371497926		
4	50000001	55000000	0.500122510677		
4	15000001	20000000	0.545457741069		
4	20000001	25000000	0.36900054831		
4	25000001	30000000	0.893433560209		
4	35000001	40000000	0.340080850518		
4	30000001	35000000	0.271751388385		
4	40000001	45000000	0.506301486814		
4	55000001	60000000	0.203272051264		
4	60000001	65000000	0.322057226781		
4	75000001	80000000	0.398170180939		
4	70000001	75000000	0.938262488697		
4	65000001	70000000	0.0803618129799		
4	85000001	90000000	0.197094868907		
4	80000001	85000000	0.199499344514		
4	90000001	95000000	0.995265013658		
4	95000001	100000000	0.890808701643		
4	100000001	105000000	0.194163294645		
4	105000001	110000000	0.564624490074		
4	110000001	115000000	0.0851000294097		
4	115000001	120000000	0.31702820274		
4	120000001	125000000	0.341144245524		
4	125000001	130000000	0.537681997817		
4	130000001	135000000	0.929374321479		
4	140000001	145000000	0.809019430991		
4	135000001	140000000	0.534183413799		
4	145000001	150000000	0.786080054208		
4	155000001	160000000	0.483959037753		
4	160000001	165000000	0.730560328054		
4	150000001	155000000	0.776954442473		
4	190000001	191154276	0.256851738049		
4	165000001	170000000	0.832777044387		
4	170000001	175000000	0.577944173419		
4	180000001	185000000	0.486119958315		
4	175000001	180000000	0.39581331547		
4	185000001	190000000	0.224149807098		
5	5000001	10000000	0.501257553138		
5	1	5000000	0.126106229497		
5	20000001	25000000	0.634782753929		
5	10000001	15000000	0.898268251075		
5	15000001	20000000	0.790526029477		
4	45000001	50000000	0.609157785552		
5	25000001	30000000	0.49447442102		
5	30000001	35000000	0.695782174055		
5	45000001	50000000	0.122316320921		
5	40000001	45000000	0.0524353709865		
5	35000001	40000000	0.861647072887		
5	50000001	55000000	0.361841074807		
5	65000001	70000000	0.66894729328		
5	55000001	60000000	0.420761669543		
5	70000001	75000000	0.358670556669		
5	60000001	65000000	0.770285967358		
5	75000001	80000000	0.343033282544		
5	80000001	85000000	0.753713959399		
5	85000001	90000000	0.820478126385		
5	90000001	95000000	0.180676053333		
5	95000001	100000000	0.977230443106		
5	100000001	105000000	0.0624421897652		
5	105000001	110000000	0.414727355356		
5	110000001	115000000	0.500474797677		
5	115000001	120000000	0.82935773525		
5	130000001	135000000	0.174878678145		
5	125000001	130000000	0.559030468586		
5	120000001	125000000	0.368517190733		
5	135000001	140000000	0.92168284428		
5	140000001	145000000	0.122326790603		
5	180000001	180915260	0.265416067115		
5	145000001	150000000	0.819802586775		
5	150000001	155000000	0.322234012596		
5	155000001	160000000	0.944221052383		
5	160000001	165000000	0.051603917673		
5	170000001	175000000	0.388418155152		
5	165000001	170000000	0.107465903949		
6	5000001	10000000	0.573530322057		
5	175000001	180000000	0.963124578493		
6	1	5000000	0.324695134481		
6	15000001	20000000	0.646835837107		
6	10000001	15000000	0.26591431976		
6	20000001	25000000	0.439221662006		
6	25000001	30000000	0.571521105946		
6	30000001	35000000	0.248413309073		
6	35000001	40000000	0.69046827		
6	40000001	45000000	0.500995811633		
6	45000001	50000000	0.905463195764		
6	50000001	55000000	0.27502127243		
6	60000001	65000000	0.954854630297		
6	70000001	75000000	0.182205834414		
6	75000001	80000000	0.0199122237274		
6	65000001	70000000	0.660204660121		
6	55000001	60000000	0.733762518554		
6	80000001	85000000	0.477321755403		
6	85000001	90000000	0.0427600701921		
6	90000001	95000000	0.998134229644		
6	100000001	105000000	0.141551757796		
6	95000001	100000000	0.870467255784		
6	110000001	115000000	0.891532629294		
6	105000001	110000000	0.220857006294		
6	115000001	120000000	0.863939017297		
6	120000001	125000000	0.463406320692		
6	130000001	135000000	0.899582526901		
6	125000001	130000000	0.887523409735		
6	170000001	171115067	0.774297445606		
6	135000001	140000000	0.288710241808		
6	140000001	145000000	0.580104827143		
6	145000001	150000000	0.981313556537		
6	150000001	155000000	0.320623366012		
6	155000001	160000000	0.386500874367		
6	165000001	170000000	0.687989308594		
6	160000001	165000000	0.0626356443136		
7	20000001	25000000	0.253361949959		
7	10000001	15000000	0.168020375039		
7	5000001	10000000	0.416056710166		
7	1	5000000	0.42497647586		
7	15000001	20000000	0.607058547534		
7	25000001	30000000	0.49680968876		
7	30000001	35000000	0.164769539224		
7	40000001	45000000	0.0466210713197		
7	35000001	40000000	0.524772198244		
7	45000001	50000000	0.763856684689		
7	50000001	55000000	0.926893901313		
7	55000001	60000000	0.839638324038		
7	85000001	90000000	0.30275280401		
7	70000001	75000000	0.865673243078		
7	65000001	70000000	0.46739154476		
7	80000001	85000000	0.282447029112		
7	90000001	95000000	0.092158728117		
7	75000001	80000000	0.442712415851		
7	95000001	100000000	0.54496135978		
7	60000001	65000000	0.279299369509		
7	105000001	110000000	0.195298824614		
7	110000001	115000000	0.940890468077		
7	100000001	105000000	0.0677749189398		
7	115000001	120000000	0.93939225668		
7	120000001	125000000	0.406412957592		
7	125000001	130000000	0.791517790024		
7	130000001	135000000	0.11094804898		
7	135000001	140000000	0.570007640367		
7	140000001	145000000	0.761696224318		
7	145000001	150000000	0.436011728028		
7	155000001	159138663	0.356466242327		
7	150000001	155000000	0.493218810369		
8	1	5000000	0.194459914637		
8	5000001	10000000	0.211630053646		
8	15000001	20000000	0.241311527583		
8	10000001	15000000	0.0375566575265		
8	20000001	25000000	0.910024130405		
8	25000001	30000000	0.0734399214659		
8	30000001	35000000	0.927138120129		
8	35000001	40000000	0.0109561339931		
8	50000001	55000000	0.65621344985		
8	55000001	60000000	0.546927631124		
8	45000001	50000000	0.0418417001119		
8	75000001	80000000	0.941466772903		
8	70000001	75000000	0.730769260874		
8	65000001	70000000	0.879131196833		
8	60000001	65000000	0.435663839421		
8	80000001	85000000	0.291383169049		
8	40000001	45000000	0.185927952112		
8	90000001	95000000	0.112719493229		
8	95000001	100000000	0.670949851297		
8	100000001	105000000	0.821796792185		
8	110000001	115000000	0.212011110153		
8	85000001	90000000	0.0259662922372		
8	145000001	146364022	0.361532813207		
8	105000001	110000000	0.152874674394		
8	115000001	120000000	0.224933977532		
8	120000001	125000000	0.222049687136		
8	125000001	130000000	0.66242141217		
8	130000001	135000000	0.434603209724		
8	135000001	140000000	0.560485468723		
9	50000001	55000000	0.390086822786		
9	55000001	60000000	0.983670837463		
9	1	5000000	0.496933377299		
9	60000001	65000000	0.0425946063309		
9	45000001	50000000	0.139222655264		
8	140000001	145000000	0.731220854226		
9	5000001	10000000	0.912627422116		
9	10000001	15000000	0.125978798583		
9	15000001	20000000	0.460104390431		
9	20000001	25000000	0.862150865442		
9	40000001	45000000	0.551800210883		
9	30000001	35000000	0.0174225676435		
9	35000001	40000000	0.52087226028		
9	25000001	30000000	0.288756581864		
9	75000001	80000000	0.213373447885		
9	80000001	85000000	0.936617665345		
9	90000001	95000000	0.105726946209		
9	85000001	90000000	0.829700484016		
9	95000001	100000000	0.753009744695		
9	70000001	75000000	0.592823175076		
9	100000001	105000000	0.324864236535		
9	105000001	110000000	0.0827704726198		
9	110000001	115000000	0.668745154187		
9	140000001	141213431	0.959225746872		
9	115000001	120000000	0.179796654126		
9	120000001	125000000	0.126146971258		
9	130000001	135000000	0.47516416118		
9	135000001	140000000	0.851357228032		
9	125000001	130000000	0.00531529756312		
10	1	5000000	0.788833698586		
10	5000001	10000000	0.0863066116797		
9	65000001	70000000	0.0322911001609		
10	10000001	15000000	0.146409185373		
10	30000001	35000000	0.457606303917		
