ChrName	Start	End	Value	Color	Label
1	5000001	10000000	2	rgba(13, 22, 103, 0.6)	
1	10000001	15000000	2	rgba(27, 229, 9, 0.6)	
1	20000001	25000000	2	rgba(136, 84, 217, 0.6)	
1	25000001	30000000	2	rgba(40, 85, 85, 0.6)	
1	35000001	40000000	2	rgba(62, 0, 111, 0.6)	
1	40000001	45000000	2	rgba(22, 152, 17, 0.6)	
1	45000001	50000000	2	rgba(80, 114, 230, 0.6)	
1	30000001	35000000	2	rgba(23, 36, 201, 0.6)	
1	50000001	55000000	2	rgba(5, 232, 146, 0.6)	
1	1	5000000	2	rgba(67, 213, 196, 0.6)	
1	15000001	20000000	2	rgba(87, 204, 52, 0.6)	
1	55000001	60000000	2	rgba(155, 134, 206, 0.6)	
1	60000001	65000000	2	rgba(80, 101, 196, 0.6)	
1	75000001	80000000	2	rgba(130, 174, 162, 0.6)	
1	85000001	90000000	2	rgba(169, 226, 123, 0.6)	
1	80000001	85000000	2	rgba(170, 95, 8, 0.6)	
1	90000001	95000000	2	rgba(192, 46, 209, 0.6)	
1	105000001	110000000	2	rgba(232, 167, 43, 0.6)	
1	125000001	130000000	2	rgba(85, 99, 18, 0.6)	
1	130000001	135000000	2	rgba(116, 146, 85, 0.6)	
1	95000001	100000000	2	rgba(48, 22, 160, 0.6)	
1	65000001	70000000	2	rgba(3, 89, 58, 0.6)	
1	70000001	75000000	2	rgba(135, 184, 231, 0.6)	
1	135000001	140000000	2	rgba(162, 252, 245, 0.6)	
1	110000001	115000000	2	rgba(160, 59, 123, 0.6)	
1	100000001	105000000	2	rgba(45, 252, 113, 0.6)	
1	115000001	120000000	2	rgba(191, 11, 34, 0.6)	
1	155000001	160000000	2	rgba(49, 65, 89, 0.6)	
1	170000001	175000000	2	rgba(69, 110, 107, 0.6)	
1	175000001	180000000	2	rgba(27, 15, 90, 0.6)	
1	140000001	145000000	2	rgba(22, 110, 2, 0.6)	
1	185000001	190000000	2	rgba(136, 18, 177, 0.6)	
1	150000001	155000000	2	rgba(103, 251, 66, 0.6)	
1	165000001	170000000	2	rgba(120, 191, 85, 0.6)	
1	180000001	185000000	2	rgba(88, 162, 247, 0.6)	
1	145000001	150000000	2	rgba(225, 106, 183, 0.6)	
1	160000001	165000000	2	rgba(173, 94, 59, 0.6)	
1	190000001	195000000	2	rgba(19, 224, 14, 0.6)	
1	120000001	125000000	2	rgba(132, 137, 37, 0.6)	
1	200000001	205000000	2	rgba(167, 233, 197, 0.6)	
1	205000001	210000000	2	rgba(99, 32, 248, 0.6)	
1	215000001	220000000	2	rgba(131, 160, 204, 0.6)	
1	220000001	225000000	2	rgba(98, 15, 34, 0.6)	
1	230000001	235000000	2	rgba(170, 89, 222, 0.6)	
1	195000001	200000000	2	rgba(188, 250, 170, 0.6)	
1	235000001	240000000	2	rgba(77, 201, 7, 0.6)	
1	210000001	215000000	2	rgba(133, 222, 131, 0.6)	
1	225000001	230000000	2	rgba(35, 127, 139, 0.6)	
1	240000001	245000000	2	rgba(94, 227, 86, 0.6)	
1	245000001	249250621	2	rgba(69, 129, 51, 0.6)	
2	1	5000000	2	rgba(82, 101, 239, 0.6)	
2	5000001	10000000	2	rgba(20, 50, 50, 0.6)	
2	10000001	15000000	2	rgba(253, 227, 49, 0.6)	
2	20000001	25000000	2	rgba(143, 21, 80, 0.6)	
2	50000001	55000000	2	rgba(86, 137, 236, 0.6)	
2	15000001	20000000	2	rgba(206, 136, 200, 0.6)	
2	25000001	30000000	2	rgba(123, 186, 198, 0.6)	
2	45000001	50000000	2	rgba(65, 212, 147, 0.6)	
2	40000001	45000000	2	rgba(123, 100, 57, 0.6)	
2	30000001	35000000	2	rgba(127, 32, 161, 0.6)	
2	35000001	40000000	2	rgba(229, 201, 155, 0.6)	
2	55000001	60000000	2	rgba(126, 177, 31, 0.6)	
2	60000001	65000000	2	rgba(13, 219, 92, 0.6)	
2	65000001	70000000	2	rgba(170, 107, 91, 0.6)	
2	70000001	75000000	2	rgba(196, 87, 192, 0.6)	
2	75000001	80000000	2	rgba(209, 46, 249, 0.6)	
2	110000001	115000000	2	rgba(15, 105, 127, 0.6)	
2	100000001	105000000	2	rgba(211, 44, 142, 0.6)	
2	80000001	85000000	2	rgba(93, 235, 31, 0.6)	
2	95000001	100000000	2	rgba(67, 209, 82, 0.6)	
2	105000001	110000000	2	rgba(240, 13, 99, 0.6)	
2	115000001	120000000	2	rgba(27, 146, 245, 0.6)	
2	85000001	90000000	2	rgba(82, 164, 67, 0.6)	
2	120000001	125000000	2	rgba(112, 145, 63, 0.6)	
2	125000001	130000000	2	rgba(176, 127, 230, 0.6)	
2	135000001	140000000	2	rgba(70, 243, 46, 0.6)	
2	140000001	145000000	2	rgba(5, 168, 187, 0.6)	
2	145000001	150000000	2	rgba(121, 10, 254, 0.6)	
2	150000001	155000000	2	rgba(36, 221, 227, 0.6)	
