ChrName	Start	End	Value	Color	Label
1	5000001	10000000	2	rgba(192,183,163,0.6)	
1	10000001	15000000	2	rgba(61,160,94,0.6)	
1	20000001	25000000	2	rgba(119,237,107,0.6)	
1	25000001	30000000	2	rgba(199,150,86,0.6)	
1	35000001	40000000	2	rgba(205,210,19,0.6)	
1	40000001	45000000	2	rgba(151,158,202,0.6)	
1	45000001	50000000	2	rgba(94,112,191,0.6)	
1	30000001	35000000	2	rgba(255,255,17,0.6)	
1	50000001	55000000	2	rgba(208,145,236,0.6)	
1	1	5000000	2	rgba(81,103,66,0.6)	
1	15000001	20000000	2	rgba(51,80,228,0.6)	
1	55000001	60000000	2	rgba(241,135,93,0.6)	
1	60000001	65000000	2	rgba(167,57,180,0.6)	
1	75000001	80000000	2	rgba(36,57,229,0.6)	
1	85000001	90000000	2	rgba(249,204,111,0.6)	
1	80000001	85000000	2	rgba(147,2,181,0.6)	
1	90000001	95000000	2	rgba(140,108,34,0.6)	
1	105000001	110000000	2	rgba(102,25,250,0.6)	
1	125000001	130000000	2	rgba(208,138,188,0.6)	
1	130000001	135000000	2	rgba(115,123,63,0.6)	
1	95000001	100000000	2	rgba(240,71,89,0.6)	
1	65000001	70000000	2	rgba(191,241,35,0.6)	
1	70000001	75000000	2	rgba(12,16,27,0.6)	
1	135000001	140000000	2	rgba(136,166,64,0.6)	
1	110000001	115000000	2	rgba(78,98,164,0.6)	
1	100000001	105000000	2	rgba(209,101,231,0.6)	
1	115000001	120000000	2	rgba(98,175,153,0.6)	
1	155000001	160000000	2	rgba(17,39,156,0.6)	
1	170000001	175000000	2	rgba(101,53,135,0.6)	
1	175000001	180000000	2	rgba(187,154,149,0.6)	
1	140000001	145000000	2	rgba(39,7,241,0.6)	
1	185000001	190000000	2	rgba(248,218,99,0.6)	
1	150000001	155000000	2	rgba(189,79,77,0.6)	
1	165000001	170000000	2	rgba(106,1,238,0.6)	
1	180000001	185000000	2	rgba(22,137,184,0.6)	
1	145000001	150000000	2	rgba(25,142,99,0.6)	
1	160000001	165000000	2	rgba(2,217,154,0.6)	
1	190000001	195000000	2	rgba(44,107,117,0.6)	
1	120000001	125000000	2	rgba(252,6,24,0.6)	
1	200000001	205000000	2	rgba(72,204,182,0.6)	
1	205000001	210000000	2	rgba(248,76,66,0.6)	
1	215000001	220000000	2	rgba(87,115,49,0.6)	
1	220000001	225000000	2	rgba(69,17,105,0.6)	
1	230000001	235000000	2	rgba(254,154,106,0.6)	
1	195000001	200000000	2	rgba(23,255,198,0.6)	
1	235000001	240000000	2	rgba(221,151,127,0.6)	
1	210000001	215000000	2	rgba(71,179,229,0.6)	
1	225000001	230000000	2	rgba(47,41,178,0.6)	
1	240000001	245000000	2	rgba(33,191,68,0.6)	
1	245000001	249250621	2	rgba(56,23,206,0.6)	
2	1	5000000	2	rgba(157,166,132,0.6)	
2	5000001	10000000	2	rgba(17,146,209,0.6)	
2	10000001	15000000	2	rgba(150,4,165,0.6)	
2	20000001	25000000	2	rgba(50,36,60,0.6)	
2	50000001	55000000	2	rgba(66,247,229,0.6)	
2	15000001	20000000	2	rgba(204,47,47,0.6)	
2	25000001	30000000	2	rgba(139,149,205,0.6)	
2	45000001	50000000	2	rgba(40,231,106,0.6)	
2	40000001	45000000	2	rgba(249,29,233,0.6)	
2	30000001	35000000	2	rgba(48,67,14,0.6)	
2	35000001	40000000	2	rgba(146,185,72,0.6)	
2	55000001	60000000	2	rgba(54,235,181,0.6)	
2	60000001	65000000	2	rgba(105,84,46,0.6)	
2	65000001	70000000	2	rgba(59,231,93,0.6)	
2	70000001	75000000	2	rgba(4,150,254,0.6)	
2	75000001	80000000	2	rgba(198,64,181,0.6)	
2	110000001	115000000	2	rgba(254,72,52,0.6)	
2	100000001	105000000	2	rgba(103,202,144,0.6)	
2	80000001	85000000	2	rgba(40,198,243,0.6)	
2	95000001	100000000	2	rgba(248,10,22,0.6)	
2	105000001	110000000	2	rgba(5,70,123,0.6)	
2	115000001	120000000	2	rgba(0,101,161,0.6)	
2	85000001	90000000	2	rgba(107,224,220,0.6)	
2	120000001	125000000	2	rgba(44,222,231,0.6)	
