ChrName	Start	End	Value	Color	Label
1	5000001	10000000	2	rgba(70, 32, 143, 0.6)	
1	10000001	15000000	2	rgba(112, 245, 249, 0.6)	
1	20000001	25000000	2	rgba(238, 116, 196, 0.6)	
1	25000001	30000000	2	rgba(169, 107, 57, 0.6)	
1	35000001	40000000	2	rgba(194, 230, 246, 0.6)	
1	40000001	45000000	2	rgba(234, 234, 8, 0.6)	
1	45000001	50000000	2	rgba(148, 246, 124, 0.6)	
1	30000001	35000000	2	rgba(246, 56, 243, 0.6)	
1	50000001	55000000	2	rgba(183, 253, 205, 0.6)	
1	1	5000000	2	rgba(87, 64, 185, 0.6)	
1	15000001	20000000	2	rgba(237, 214, 47, 0.6)	
1	55000001	60000000	2	rgba(235, 99, 137, 0.6)	
1	60000001	65000000	2	rgba(237, 197, 47, 0.6)	
1	75000001	80000000	2	rgba(71, 143, 88, 0.6)	
1	85000001	90000000	2	rgba(177, 231, 199, 0.6)	
1	80000001	85000000	2	rgba(121, 73, 35, 0.6)	
1	90000001	95000000	2	rgba(39, 234, 107, 0.6)	
1	105000001	110000000	2	rgba(19, 250, 46, 0.6)	
1	125000001	130000000	2	rgba(196, 7, 22, 0.6)	
1	130000001	135000000	2	rgba(139, 222, 117, 0.6)	
1	95000001	100000000	2	rgba(219, 251, 132, 0.6)	
1	65000001	70000000	2	rgba(238, 122, 79, 0.6)	
1	70000001	75000000	2	rgba(150, 105, 73, 0.6)	
1	135000001	140000000	2	rgba(112, 224, 40, 0.6)	
1	110000001	115000000	2	rgba(119, 28, 167, 0.6)	
1	100000001	105000000	2	rgba(165, 145, 137, 0.6)	
1	115000001	120000000	2	rgba(33, 146, 90, 0.6)	
1	155000001	160000000	2	rgba(173, 180, 235, 0.6)	
1	170000001	175000000	2	rgba(227, 156, 219, 0.6)	
1	175000001	180000000	2	rgba(49, 25, 169, 0.6)	
1	140000001	145000000	2	rgba(216, 80, 80, 0.6)	
1	185000001	190000000	2	rgba(151, 4, 225, 0.6)	
1	150000001	155000000	2	rgba(107, 242, 80, 0.6)	
1	165000001	170000000	2	rgba(89, 74, 157, 0.6)	
1	180000001	185000000	2	rgba(174, 232, 171, 0.6)	
1	145000001	150000000	2	rgba(234, 28, 185, 0.6)	
1	160000001	165000000	2	rgba(215, 92, 192, 0.6)	
1	190000001	195000000	2	rgba(245, 172, 125, 0.6)	
1	120000001	125000000	2	rgba(83, 218, 103, 0.6)	
1	200000001	205000000	2	rgba(215, 181, 240, 0.6)	
1	205000001	210000000	2	rgba(206, 73, 36, 0.6)	
1	215000001	220000000	2	rgba(75, 24, 38, 0.6)	
