ChrName	Size	Color
1	249250621	16915
2	243199373	254252555
3	198022430	502315922
4	191154276	704298807
5	180915260	899276175
6	171115067	1083809747
7	159138663	1258347122
8	146364022	1420668565
9	141213431	1569959874
10	135534747	1713997581
11	135006516	1852243030
12	133851895	1989949684
13	115169878	2126478624
14	107349540	2243951907
15	102531392	2353448445
16	90354753	2458030472
17	81195210	2550192328
18	78077248	2633011450
19	59128983	2712650250
20	63025520	2772961820
21	48129895	2837247858
22	51304566	2886340358
X	155270560	2938671022
Y	59373566	3097047000
