clade_name	relative_abundance
k__Bacteria	100
k__Bacteria|p__Proteobacteria	50.39413
k__Bacteria|p__Firmicutes	28.11305
k__Bacteria|p__Actinobacteria	21.49283
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	46.69805
k__Bacteria|p__Firmicutes|c__Bacilli	28.11305
k__Bacteria|p__Actinobacteria|c__Actinobacteria	21.49283
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	3.69608
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	28.49383
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	28.11305
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	18.20422
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	17.03978
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	3.69608
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	3.52329
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	0.92976
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	25.95806
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	21.38065
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	18.20422
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	17.03978
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	6.7324
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	3.69608
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	3.52329
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2.53577
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae	0.92976
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	25.95806
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	21.38065
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	18.20422
