Symbol,logFC,p_value
MIR1302-2HG,15.86284051,0.999988109
FAM138A,-2.84E-12,0.999988109
OR4F5,-2.84E-12,0.999988109
AL627309.1,-0.636041024,0.999988109
AL627309.3,-2.84E-12,0.999988109
AL627309.2,-2.84E-12,0.999988109
AL627309.4,-2.84E-12,0.999988109
AL732372.1,-2.84E-12,0.999988109
OR4F29,-2.84E-12,0.999988109
AC114498.1,-2.84E-12,0.999988109
OR4F16,-2.84E-12,0.999988109
AL669831.2,-2.84E-12,0.999988109
AL669831.5,0.422382103,0.999988109
LINC00115,-1.532566701,0.033667472
FAM41C,-0.762291333,0.378022318
AL645608.7,-2.84E-12,0.999988109
AL645608.3,-2.84E-12,0.999988109
AL645608.5,-2.84E-12,0.999988109
SAMD11,15.96500224,0.999988109
NOC2L,0.0814127,0.803879226
KLHL17,1.203092328,0.669631345
PERM1,-2.84E-12,0.999988109
AL645608.8,4.257358313,0.999988109
HES4,0.310664007,0.999988109
ISG15,0.197152958,0.999988109
AL645608.2,16.90231113,0.999988109
AGRN,0.330819554,0.999988109
AL645608.9,-0.603086955,0.999988109
RNF223,15.86278523,0.999988109
C1orf159,0.205459377,0.999988109
LINC01342,-2.84E-12,0.999988109
AL390719.2,-2.84E-12,0.999988109
TTLL10-AS1,-2.84E-12,0.999988109
TTLL10,-2.84E-12,0.999988109
TNFRSF18,0.305073323,8.89E-09
TNFRSF4,0.707346429,2.04E-85
SDF4,0.435959664,9.60E-15
B3GALT6,-0.342254835,0.001853725
C1QTNF12,1.868972406,0.791316942
AL162741.1,16.8459147,0.999988109
UBE2J2,0.256784252,0.119967257
LINC01786,-2.84E-12,0.999988109
ACAP3,-0.315803782,0.999988109
PUSL1,0.013356265,0.999988109
INTS11,0.436102598,0.000121998
CPTP,0.285856789,0.999988109
DVL1,0.249911624,0.999988109
MXRA8,-1.192584569,0.999988109
AURKAIP1,0.118159995,0.156605306
CCNL2,0.216166208,0.314096727
MRPL20,-0.080357476,0.333697853
AL391244.3,-1.567600834,0.426189593
ANKRD65,-2.84E-12,0.999988109
AL391244.2,-2.84E-12,0.999988109
TMEM88B,-2.84E-12,0.999988109
LINC01770,-2.84E-12,0.999988109
VWA1,-2.84E-12,0.999988109
ATAD3C,-0.792588652,0.999988109
ATAD3B,0.492371921,1.66E-08
ATAD3A,0.408763469,4.95E-05
SSU72,0.113132461,0.477591176
AL645728.1,-0.350192331,0.999988109
FNDC10,2.296045378,0.312669774
AL691432.2,-0.585564997,0.999988109
MIB2,0.022618393,0.999988109
CDK11B,-0.010702811,0.999988109
SLC35E2B,1.770036098,0.04918704
CDK11A,-0.432591234,0.000879402
SLC35E2A,-0.294454543,0.999988109
NADK,-0.22973887,0.400033738
GNB1,-0.169161326,0.219077617
AL109917.1,-1.035952614,0.999988109
CALML6,4.257362481,0.999988109
TMEM52,0.369560657,0.999988109
AL391845.2,-2.84E-12,0.999988109
GABRD,-5.798892275,0.477591176
AL391845.1,-2.84E-12,0.999988109
PRKCZ,-0.515983378,0.652686086
AL590822.2,#NAME?,0.255929558
PRKCZ-AS1,-0.620842104,0.999988109
FAAP20,0.056813891,0.999988109
AL590822.1,-2.84E-12,0.999988109
SKI,-0.439169179,0.192973013
MORN1,0.313038667,0.999988109
RER1,0.244573452,0.025080634
PEX10,-0.264646853,0.999988109
AL139246.1,-2.84E-12,0.999988109
AL139246.4,-2.84E-12,0.999988109
PANK4,0.152147672,0.999988109
HES5,15.86281408,0.999988109
AL139246.5,-0.804466212,0.027060412
TNFRSF14-AS1,-0.322156213,0.999988109
TNFRSF14,0.304552254,0.660264526
AL139246.3,-4.597667794,0.207125839
FAM213B,0.188356496,0.999988109
AL831784.1,-2.84E-12,0.999988109
TTC34,-2.119713312,0.999988109
AC242022.1,-2.84E-12,0.999988109
AL592464.2,-2.84E-12,0.999988109
AL592464.1,-2.84E-12,0.999988109
AL589702.1,-2.84E-12,0.999988109
ACTRT2,-2.84E-12,0.999988109
LINC00982,-2.84E-12,0.999988109
PRDM16,-2.84E-12,0.999988109
AL008733.1,-2.84E-12,0.999988109
AL590438.1,-2.84E-12,0.999988109
ARHGEF16,-2.84E-12,0.999988109
AL512413.1,-2.84E-12,0.999988109
MEGF6,-0.214859608,0.999988109
AL513320.1,-2.84E-12,0.999988109
TPRG1L,0.281096355,0.999988109
WRAP73,0.672432229,0.001612049
TP73,-2.84E-12,0.999988109
AL136528.1,-2.84E-12,0.999988109
AL136528.2,-2.84E-12,0.999988109
CCDC27,15.86282113,0.999988109
SMIM1,-1.866012905,0.106177905
LRRC47,0.0750083,0.999988109
CEP104,-0.097407526,0.999988109
DFFB,-0.076395843,0.999988109
C1orf174,0.343194562,0.116161243
LINC01134,-2.113206583,0.999988109
LINC01346,-2.84E-12,0.999988109
LINC01345,-2.84E-12,0.999988109
AL805961.1,-2.84E-12,0.999988109
LINC01777,-2.84E-12,0.999988109
AL355602.1,-2.84E-12,0.999988109
Z98747.1,-2.84E-12,0.999988109
LINC01646,-2.84E-12,0.999988109
AJAP1,4.257358499,0.999988109
