ChrName	Start	End	Value	Color	Label
1	5000001	10000000	42.2473	rgba(0,132, 0 ,1)	
1	10000001	15000000	39.35	rgba(0,132, 0 ,1)	
1	20000001	25000000	41.2805	rgba(0,132, 0 ,1)	
1	25000001	30000000	39.698	rgba(0,132, 0 ,1)	
1	35000001	40000000	41.574	rgba(0,132, 0 ,1)	
1	40000001	45000000	41.8202	rgba(0,132, 0 ,1)	
1	45000001	50000000	42.1324	rgba(0,132, 0 ,1)	
1	30000001	35000000	42.0093	rgba(0,132, 0 ,1)	
1	50000001	55000000	41.4545	rgba(0,132, 0 ,1)	
1	1	5000000	42.2985	rgba(0,132, 0 ,1)	
1	15000001	20000000	47.5202	rgba(0,132, 0 ,1)	
1	55000001	60000000	42.4936	rgba(0,132, 0 ,1)	
1	60000001	65000000	41.6923	rgba(0,132, 0 ,1)	
1	75000001	80000000	42.0103	rgba(0,132, 0 ,1)	
1	85000001	90000000	42.1551	rgba(0,132, 0 ,1)	
1	80000001	85000000	41.9409	rgba(0,132, 0 ,1)	
1	90000001	95000000	42.1181	rgba(0,132, 0 ,1)	
1	105000001	110000000	41.7395	rgba(0,132, 0 ,1)	
1	125000001	130000000	0	rgba(0,132, 0 ,1)	
1	130000001	135000000	0	rgba(0,132, 0 ,1)	
1	95000001	100000000	42.038	rgba(0,132, 0 ,1)	
1	65000001	70000000	41.8792	rgba(0,132, 0 ,1)	
1	70000001	75000000	41.6097	rgba(0,132, 0 ,1)	
1	135000001	140000000	0	rgba(0,132, 0 ,1)	
1	110000001	115000000	41.9366	rgba(0,132, 0 ,1)	
1	100000001	105000000	40.749	rgba(0,132, 0 ,1)	
1	115000001	120000000	42.3462	rgba(0,132, 0 ,1)	
1	155000001	160000000	42.0343	rgba(0,132, 0 ,1)	
1	170000001	175000000	41.7501	rgba(0,132, 0 ,1)	
1	175000001	180000000	42.1441	rgba(0,132, 0 ,1)	
1	140000001	145000000	39.5545	rgba(0,132, 0 ,1)	
1	185000001	190000000	41.7413	rgba(0,132, 0 ,1)	
1	150000001	155000000	41.2443	rgba(0,132, 0 ,1)	
1	165000001	170000000	41.9477	rgba(0,132, 0 ,1)	
1	180000001	185000000	41.8972	rgba(0,132, 0 ,1)	
1	145000001	150000000	46.7743	rgba(0,132, 0 ,1)	
1	160000001	165000000	42.9192	rgba(0,132, 0 ,1)	
1	190000001	195000000	41.4477	rgba(0,132, 0 ,1)	
1	120000001	125000000	19.5343	rgba(0,132, 0 ,1)	
1	200000001	205000000	42.0918	rgba(0,132, 0 ,1)	
1	205000001	210000000	40.2316	rgba(0,132, 0 ,1)	
1	215000001	220000000	42.0819	rgba(0,132, 0 ,1)	
1	220000001	225000000	41.9994	rgba(0,132, 0 ,1)	
1	230000001	235000000	42.2124	rgba(0,132, 0 ,1)	
1	195000001	200000000	41.2302	rgba(0,132, 0 ,1)	
1	235000001	240000000	41.0899	rgba(0,132, 0 ,1)	
1	210000001	215000000	41.7133	rgba(0,132, 0 ,1)	
1	225000001	230000000	42.4207	rgba(0,132, 0 ,1)	
1	240000001	245000000	41.4083	rgba(0,132, 0 ,1)	
1	245000001	249250621	39.622	rgba(0,132, 0 ,1)	
2	1	5000000	41.9742	rgba(0,132, 0 ,1)	
2	5000001	10000000	41.604	rgba(0,132, 0 ,1)	
2	10000001	15000000	42.0585	rgba(0,132, 0 ,1)	
2	20000001	25000000	41.9948	rgba(0,132, 0 ,1)	
2	50000001	55000000	41.6142	rgba(0,132, 0 ,1)	
2	15000001	20000000	41.9207	rgba(0,132, 0 ,1)	
2	25000001	30000000	41.5606	rgba(0,132, 0 ,1)	
2	45000001	50000000	41.9192	rgba(0,132, 0 ,1)	
2	40000001	45000000	41.5413	rgba(0,132, 0 ,1)	
2	30000001	35000000	42.0999	rgba(0,132, 0 ,1)	
2	35000001	40000000	41.7334	rgba(0,132, 0 ,1)	
2	55000001	60000000	41.7422	rgba(0,132, 0 ,1)	
2	60000001	65000000	41.4513	rgba(0,132, 0 ,1)	
2	65000001	70000000	41.9865	rgba(0,132, 0 ,1)	
2	70000001	75000000	41.9829	rgba(0,132, 0 ,1)	
2	75000001	80000000	41.8714	rgba(0,132, 0 ,1)	
2	110000001	115000000	40.6952	rgba(0,132, 0 ,1)	
2	100000001	105000000	41.9922	rgba(0,132, 0 ,1)	
2	80000001	85000000	41.8579	rgba(0,132, 0 ,1)	
2	95000001	100000000	39.5555	rgba(0,132, 0 ,1)	
2	105000001	110000000	42.8303	rgba(0,132, 0 ,1)	
2	115000001	120000000	42.1979	rgba(0,132, 0 ,1)	
2	85000001	90000000	47.1003	rgba(0,132, 0 ,1)	
2	120000001	125000000	42.3388	rgba(0,132, 0 ,1)	
2	125000001	130000000	42.0905	rgba(0,132, 0 ,1)	
2	135000001	140000000	41.9204	rgba(0,132, 0 ,1)	
2	140000001	145000000	41.8582	rgba(0,132, 0 ,1)	
2	145000001	150000000	40.8978	rgba(0,132, 0 ,1)	
2	150000001	155000000	41.6884	rgba(0,132, 0 ,1)	
2	90000001	95000000	47.8818	rgba(0,132, 0 ,1)	
2	155000001	160000000	41.8969	rgba(0,132, 0 ,1)	
2	160000001	165000000	42.7918	rgba(0,132, 0 ,1)	
2	165000001	170000000	41.9993	rgba(0,132, 0 ,1)	
2	170000001	175000000	41.3787	rgba(0,132, 0 ,1)	
2	175000001	180000000	41.9064	rgba(0,132, 0 ,1)	
2	180000001	185000000	42.0365	rgba(0,132, 0 ,1)	
2	130000001	135000000	64.8685	rgba(255, 0, 0, 1)	64.8685
2	200000001	205000000	41.1605	rgba(0,132, 0 ,1)	
2	185000001	190000000	41.7168	rgba(0,132, 0 ,1)	
2	190000001	195000000	41.615	rgba(0,132, 0 ,1)	
2	205000001	210000000	41.6734	rgba(0,132, 0 ,1)	
2	195000001	200000000	41.7738	rgba(0,132, 0 ,1)	
2	210000001	215000000	41.812	rgba(0,132, 0 ,1)	
2	215000001	220000000	42.0127	rgba(0,132, 0 ,1)	
2	220000001	225000000	41.8714	rgba(0,132, 0 ,1)	
2	225000001	230000000	41.7607	rgba(0,132, 0 ,1)	
2	230000001	235000000	41.6142	rgba(0,132, 0 ,1)	
2	240000001	243199373	41.4051	rgba(0,132, 0 ,1)	
2	235000001	240000000	42.0555	rgba(0,132, 0 ,1)	
3	10000001	15000000	42.4945	rgba(0,132, 0 ,1)	
3	5000001	10000000	42.0444	rgba(0,132, 0 ,1)	
3	1	5000000	41.4982	rgba(0,132, 0 ,1)	
3	15000001	20000000	42.1821	rgba(0,132, 0 ,1)	
3	25000001	30000000	41.8938	rgba(0,132, 0 ,1)	
3	20000001	25000000	41.8815	rgba(0,132, 0 ,1)	
3	30000001	35000000	41.8138	rgba(0,132, 0 ,1)	
3	35000001	40000000	42.3072	rgba(0,132, 0 ,1)	
3	40000001	45000000	42.2589	rgba(0,132, 0 ,1)	
3	45000001	50000000	41.4198	rgba(0,132, 0 ,1)	
3	50000001	55000000	42.1489	rgba(0,132, 0 ,1)	
3	55000001	60000000	41.9123	rgba(0,132, 0 ,1)	
3	90000001	95000000	19.2409	rgba(0,132, 0 ,1)	
3	60000001	65000000	42.1272	rgba(0,132, 0 ,1)	
3	70000001	75000000	42.0229	rgba(0,132, 0 ,1)	
3	65000001	70000000	41.0541	rgba(0,132, 0 ,1)	
3	85000001	90000000	41.8192	rgba(0,132, 0 ,1)	
3	75000001	80000000	47.5604	rgba(0,132, 0 ,1)	
3	80000001	85000000	41.7833	rgba(0,132, 0 ,1)	
3	100000001	105000000	41.7328	rgba(0,132, 0 ,1)	
3	95000001	100000000	41.8649	rgba(0,132, 0 ,1)	
3	105000001	110000000	41.8316	rgba(0,132, 0 ,1)	
3	110000001	115000000	41.9918	rgba(0,132, 0 ,1)	
3	115000001	120000000	42.1688	rgba(0,132, 0 ,1)	
3	120000001	125000000	42.1754	rgba(0,132, 0 ,1)	
3	125000001	130000000	42.2493	rgba(0,132, 0 ,1)	
3	130000001	135000000	42.3501	rgba(0,132, 0 ,1)	
3	135000001	140000000	41.9948	rgba(0,132, 0 ,1)	
3	140000001	145000000	41.8661	rgba(0,132, 0 ,1)	
3	145000001	150000000	41.8957	rgba(0,132, 0 ,1)	
3	150000001	155000000	41.6654	rgba(0,132, 0 ,1)	
3	155000001	160000000	42.0189	rgba(0,132, 0 ,1)	
3	160000001	165000000	41.1567	rgba(0,132, 0 ,1)	
3	165000001	170000000	41.7632	rgba(0,132, 0 ,1)	
3	170000001	175000000	41.7247	rgba(0,132, 0 ,1)	
3	175000001	180000000	41.5009	rgba(0,132, 0 ,1)	
3	195000001	198022430	41.9493	rgba(0,132, 0 ,1)	
3	185000001	190000000	41.5532	rgba(0,132, 0 ,1)	
3	180000001	185000000	41.2892	rgba(0,132, 0 ,1)	
3	190000001	195000000	41.8395	rgba(0,132, 0 ,1)	
4	10000001	15000000	42.4128	rgba(0,132, 0 ,1)	
4	1	5000000	43.1891	rgba(0,132, 0 ,1)	
4	5000001	10000000	44.0522	rgba(0,132, 0 ,1)	
4	50000001	55000000	20.3406	rgba(0,132, 0 ,1)	
4	15000001	20000000	42.2028	rgba(0,132, 0 ,1)	
4	20000001	25000000	42.2532	rgba(0,132, 0 ,1)	
4	25000001	30000000	41.6436	rgba(0,132, 0 ,1)	
4	35000001	40000000	41.5284	rgba(0,132, 0 ,1)	
4	30000001	35000000	41.6177	rgba(0,132, 0 ,1)	
4	40000001	45000000	41.6596	rgba(0,132, 0 ,1)	
4	55000001	60000000	41.278	rgba(0,132, 0 ,1)	
4	60000001	65000000	41.6179	rgba(0,132, 0 ,1)	
4	75000001	80000000	41.5558	rgba(0,132, 0 ,1)	
4	70000001	75000000	41.8379	rgba(0,132, 0 ,1)	
4	65000001	70000000	42.503	rgba(0,132, 0 ,1)	
4	85000001	90000000	41.6538	rgba(0,132, 0 ,1)	
4	80000001	85000000	42.2368	rgba(0,132, 0 ,1)	
4	90000001	95000000	41.8675	rgba(0,132, 0 ,1)	
4	95000001	100000000	41.671	rgba(0,132, 0 ,1)	
4	100000001	105000000	42.0293	rgba(0,132, 0 ,1)	
4	105000001	110000000	41.9492	rgba(0,132, 0 ,1)	
4	110000001	115000000	41.7216	rgba(0,132, 0 ,1)	
4	115000001	120000000	41.5308	rgba(0,132, 0 ,1)	
4	120000001	125000000	41.8729	rgba(0,132, 0 ,1)	
4	125000001	130000000	41.7135	rgba(0,132, 0 ,1)	
4	130000001	135000000	41.9984	rgba(0,132, 0 ,1)	
4	140000001	145000000	41.7949	rgba(0,132, 0 ,1)	
4	135000001	140000000	41.6488	rgba(0,132, 0 ,1)	
4	145000001	150000000	42.0099	rgba(0,132, 0 ,1)	
4	155000001	160000000	41.8006	rgba(0,132, 0 ,1)	
4	160000001	165000000	41.5451	rgba(0,132, 0 ,1)	
4	150000001	155000000	42.0374	rgba(0,132, 0 ,1)	
4	190000001	191154276	82.7155	rgba(255, 0, 0, 1)	82.7155
4	165000001	170000000	41.6793	rgba(0,132, 0 ,1)	
4	170000001	175000000	41.5978	rgba(0,132, 0 ,1)	
4	180000001	185000000	41.4852	rgba(0,132, 0 ,1)	
4	175000001	180000000	41.5696	rgba(0,132, 0 ,1)	
4	185000001	190000000	41.2217	rgba(0,132, 0 ,1)	
5	5000001	10000000	42.5233	rgba(0,132, 0 ,1)	
5	1	5000000	44.2971	rgba(0,132, 0 ,1)	
5	20000001	25000000	42.246	rgba(0,132, 0 ,1)	
5	10000001	15000000	42.0796	rgba(0,132, 0 ,1)	
5	15000001	20000000	42.5583	rgba(0,132, 0 ,1)	
4	45000001	50000000	83.7293	rgba(255, 0, 0, 1)	83.7293
5	25000001	30000000	41.5998	rgba(0,132, 0 ,1)	
5	30000001	35000000	42.653	rgba(0,132, 0 ,1)	
5	45000001	50000000	26.4272	rgba(0,132, 0 ,1)	
5	40000001	45000000	41.8761	rgba(0,132, 0 ,1)	
5	35000001	40000000	42.0382	rgba(0,132, 0 ,1)	
5	50000001	55000000	41.9657	rgba(0,132, 0 ,1)	
5	65000001	70000000	40.9493	rgba(0,132, 0 ,1)	
5	55000001	60000000	42.0616	rgba(0,132, 0 ,1)	
5	70000001	75000000	42.2062	rgba(0,132, 0 ,1)	
5	60000001	65000000	41.8974	rgba(0,132, 0 ,1)	
5	75000001	80000000	41.4017	rgba(0,132, 0 ,1)	
5	80000001	85000000	41.8002	rgba(0,132, 0 ,1)	
5	85000001	90000000	41.85	rgba(0,132, 0 ,1)	
5	90000001	95000000	41.4675	rgba(0,132, 0 ,1)	
5	95000001	100000000	41.7616	rgba(0,132, 0 ,1)	
5	100000001	105000000	41.8265	rgba(0,132, 0 ,1)	
5	105000001	110000000	41.9332	rgba(0,132, 0 ,1)	
5	110000001	115000000	42.168	rgba(0,132, 0 ,1)	
5	115000001	120000000	41.697	rgba(0,132, 0 ,1)	
5	130000001	135000000	41.8694	rgba(0,132, 0 ,1)	
5	125000001	130000000	41.9483	rgba(0,132, 0 ,1)	
5	120000001	125000000	41.9687	rgba(0,132, 0 ,1)	
5	135000001	140000000	41.6015	rgba(0,132, 0 ,1)	
5	140000001	145000000	41.8884	rgba(0,132, 0 ,1)	
5	180000001	180915260	40	rgba(0,132, 0 ,1)	
5	145000001	150000000	42.2497	rgba(0,132, 0 ,1)	
5	150000001	155000000	42.0136	rgba(0,132, 0 ,1)	
5	155000001	160000000	41.5054	rgba(0,132, 0 ,1)	
5	160000001	165000000	41.6267	rgba(0,132, 0 ,1)	
5	170000001	175000000	41.924	rgba(0,132, 0 ,1)	
5	165000001	170000000	42.1789	rgba(0,132, 0 ,1)	
6	5000001	10000000	41.8034	rgba(0,132, 0 ,1)	
5	175000001	180000000	41.6852	rgba(0,132, 0 ,1)	
6	1	5000000	41.7089	rgba(0,132, 0 ,1)	
6	15000001	20000000	41.3431	rgba(0,132, 0 ,1)	
