ChrName	Start	End	Value	Color	Label
1	5000001	10000000	48.0	rgba(0,0.5,0,1)	
1	10000001	15000000	53.9	rgba(0,0.5,0,1)	
1	20000001	25000000	30.9	rgba(0,0.5,0,1)	
1	25000001	30000000	18.3	rgba(0,0,1,1)	
1	35000001	40000000	47.1	rgba(0,0.5,0,1)	
1	40000001	45000000	44.5	rgba(0,0.5,0,1)	
1	45000001	50000000	21.4	rgba(0,0.5,0,1)	
1	30000001	35000000	69.4	rgba(0,0.5,0,1)	
1	50000001	55000000	28.6	rgba(0,0.5,0,1)	
1	1	5000000	19.6	rgba(0,0,1,1)	
1	15000001	20000000	36.5	rgba(0,0.5,0,1)	
1	55000001	60000000	12.3	rgba(0,0,1,1)	
1	60000001	65000000	41.8	rgba(0,0.5,0,1)	
1	75000001	80000000	42.4	rgba(0,0.5,0,1)	
1	85000001	90000000	33.0	rgba(0,0.5,0,1)	
1	80000001	85000000	38.1	rgba(0,0.5,0,1)	
1	90000001	95000000	29.4	rgba(0,0.5,0,1)	
1	105000001	110000000	57.8	rgba(0,0.5,0,1)	
1	125000001	130000000	82.8	rgba(1,0,0,1)	82.8
1	130000001	135000000	67.5	rgba(0,0.5,0,1)	
1	95000001	100000000	46.0	rgba(0,0.5,0,1)	
1	65000001	70000000	46.9	rgba(0,0.5,0,1)	
1	70000001	75000000	68.1	rgba(0,0.5,0,1)	
1	135000001	140000000	35.5	rgba(0,0.5,0,1)	
1	110000001	115000000	38.4	rgba(0,0.5,0,1)	
1	100000001	105000000	38.9	rgba(0,0.5,0,1)	
1	115000001	120000000	39.4	rgba(0,0.5,0,1)	
1	155000001	160000000	98.5	rgba(1,0,0,1)	98.5
1	170000001	175000000	75.9	rgba(0,0.5,0,1)	
1	175000001	180000000	58.3	rgba(0,0.5,0,1)	
1	140000001	145000000	22.2	rgba(0,0.5,0,1)	
1	185000001	190000000	19.7	rgba(0,0,1,1)	
1	150000001	155000000	35.4	rgba(0,0.5,0,1)	
1	165000001	170000000	27.5	rgba(0,0.5,0,1)	
1	180000001	185000000	24.8	rgba(0,0.5,0,1)	
1	145000001	150000000	54.1	rgba(0,0.5,0,1)	
1	160000001	165000000	44.2	rgba(0,0.5,0,1)	
1	190000001	195000000	48.7	rgba(0,0.5,0,1)	
1	120000001	125000000	9.9	rgba(0,0,1,1)	
1	200000001	205000000	46.2	rgba(0,0.5,0,1)	
1	205000001	210000000	57.8	rgba(0,0.5,0,1)	
1	215000001	220000000	60.4	rgba(0,0.5,0,1)	
1	220000001	225000000	15.6	rgba(0,0,1,1)	
1	230000001	235000000	18.4	rgba(0,0,1,1)	
1	195000001	200000000	31.7	rgba(0,0.5,0,1)	
1	235000001	240000000	1.5	rgba(0,0,1,1)	
1	210000001	215000000	10.2	rgba(0,0,1,1)	
1	225000001	230000000	73.6	rgba(0,0.5,0,1)	
1	240000001	245000000	31.8	rgba(0,0.5,0,1)	
1	245000001	249250621	75.4	rgba(0,0.5,0,1)	
