ChrName	Start	End	Value	Color	Label
1	5000001	10000000	18.1	rgba(0,0,1,1)	
1	10000001	15000000	4.9	rgba(0,0,1,1)	
1	20000001	25000000	44.5	rgba(0,0.5,0,1)	
1	25000001	30000000	8.2	rgba(0,0,1,1)	
1	35000001	40000000	15.8	rgba(0,0,1,1)	
1	40000001	45000000	93.0	rgba(1,0,0,1)	93.0
1	45000001	50000000	61.1	rgba(0,0.5,0,1)	
1	30000001	35000000	27.7	rgba(0,0.5,0,1)	
1	50000001	55000000	91.1	rgba(1,0,0,1)	91.1
1	1	5000000	42.5	rgba(0,0.5,0,1)	
1	15000001	20000000	75.9	rgba(0,0.5,0,1)	
1	55000001	60000000	0.2	rgba(0,0,1,1)	
1	60000001	65000000	58.0	rgba(0,0.5,0,1)	
1	75000001	80000000	11.3	rgba(0,0,1,1)	
1	85000001	90000000	49.7	rgba(0,0.5,0,1)	
1	80000001	85000000	79.9	rgba(0,0.5,0,1)	
1	90000001	95000000	19.6	rgba(0,0,1,1)	
1	105000001	110000000	51.6	rgba(0,0.5,0,1)	
1	125000001	130000000	50.0	rgba(0,0.5,0,1)	
1	130000001	135000000	4.0	rgba(0,0,1,1)	
1	95000001	100000000	8.1	rgba(0,0,1,1)	
1	65000001	70000000	21.8	rgba(0,0.5,0,1)	
1	70000001	75000000	43.0	rgba(0,0.5,0,1)	
1	135000001	140000000	71.7	rgba(0,0.5,0,1)	
1	110000001	115000000	28.7	rgba(0,0.5,0,1)	
1	100000001	105000000	65.3	rgba(0,0.5,0,1)	
1	115000001	120000000	18.8	rgba(0,0,1,1)	
1	155000001	160000000	53.2	rgba(0,0.5,0,1)	
1	170000001	175000000	65.9	rgba(0,0.5,0,1)	
1	175000001	180000000	21.3	rgba(0,0.5,0,1)	
1	140000001	145000000	28.3	rgba(0,0.5,0,1)	
1	185000001	190000000	9.6	rgba(0,0,1,1)	
1	150000001	155000000	26.9	rgba(0,0.5,0,1)	
1	165000001	170000000	39.2	rgba(0,0.5,0,1)	
1	180000001	185000000	50.7	rgba(0,0.5,0,1)	
1	145000001	150000000	52.9	rgba(0,0.5,0,1)	
1	160000001	165000000	21.3	rgba(0,0.5,0,1)	
1	190000001	195000000	68.1	rgba(0,0.5,0,1)	
1	120000001	125000000	49.6	rgba(0,0.5,0,1)	
1	200000001	205000000	35.1	rgba(0,0.5,0,1)	
1	205000001	210000000	66.5	rgba(0,0.5,0,1)	
1	215000001	220000000	52.2	rgba(0,0.5,0,1)	
1	220000001	225000000	47.0	rgba(0,0.5,0,1)	
1	230000001	235000000	12.7	rgba(0,0,1,1)	
1	195000001	200000000	45.7	rgba(0,0.5,0,1)	
1	235000001	240000000	40.9	rgba(0,0.5,0,1)	
1	210000001	215000000	73.3	rgba(0,0.5,0,1)	
1	225000001	230000000	81.5	rgba(1,0,0,1)	81.5
1	240000001	245000000	29.9	rgba(0,0.5,0,1)	
1	245000001	249250621	35.0	rgba(0,0.5,0,1)	
2	1	5000000	83.3	rgba(1,0,0,1)	83.3
2	5000001	10000000	24.7	rgba(0,0.5,0,1)	
2	10000001	15000000	67.1	rgba(0,0.5,0,1)	
2	20000001	25000000	3.3	rgba(0,0,1,1)	
2	50000001	55000000	70.8	rgba(0,0.5,0,1)	
2	15000001	20000000	35.3	rgba(0,0.5,0,1)	
2	25000001	30000000	42.9	rgba(0,0.5,0,1)	
2	45000001	50000000	8.0	rgba(0,0,1,1)	
2	40000001	45000000	36.0	rgba(0,0.5,0,1)	
2	30000001	35000000	53.8	rgba(0,0.5,0,1)	
2	35000001	40000000	67.5	rgba(0,0.5,0,1)	
2	55000001	60000000	41.4	rgba(0,0.5,0,1)	
2	60000001	65000000	60.9	rgba(0,0.5,0,1)	
2	65000001	70000000	75.3	rgba(0,0.5,0,1)	
2	70000001	75000000	45.0	rgba(0,0.5,0,1)	
2	75000001	80000000	39.7	rgba(0,0.5,0,1)	
2	110000001	115000000	25.5	rgba(0,0.5,0,1)	
2	100000001	105000000	21.1	rgba(0,0.5,0,1)	
2	80000001	85000000	6.8	rgba(0,0,1,1)	
2	95000001	100000000	49.8	rgba(0,0.5,0,1)	
2	105000001	110000000	79.8	rgba(0,0.5,0,1)	
2	115000001	120000000	79.4	rgba(0,0.5,0,1)	
2	85000001	90000000	14.8	rgba(0,0,1,1)	
2	120000001	125000000	35.6	rgba(0,0.5,0,1)	
2	125000001	130000000	78.9	rgba(0,0.5,0,1)	
2	135000001	140000000	4.0	rgba(0,0,1,1)	
2	140000001	145000000	78.0	rgba(0,0.5,0,1)	
2	145000001	150000000	6.2	rgba(0,0,1,1)	
2	150000001	155000000	42.2	rgba(0,0.5,0,1)	
2	90000001	95000000	57.9	rgba(0,0.5,0,1)	
2	155000001	160000000	15.1	rgba(0,0,1,1)	
2	160000001	165000000	47.2	rgba(0,0.5,0,1)	
2	165000001	170000000	39.9	rgba(0,0.5,0,1)	
2	170000001	175000000	20.3	rgba(0,0.5,0,1)	
2	175000001	180000000	46.1	rgba(0,0.5,0,1)	
2	180000001	185000000	60.7	rgba(0,0.5,0,1)	
2	130000001	135000000	1.9	rgba(0,0,1,1)	
2	200000001	205000000	17.2	rgba(0,0,1,1)	
2	185000001	190000000	89.0	rgba(1,0,0,1)	89.0
2	190000001	195000000	0.2	rgba(0,0,1,1)	
2	205000001	210000000	3.7	rgba(0,0,1,1)	
2	195000001	200000000	14.9	rgba(0,0,1,1)	
2	210000001	215000000	48.4	rgba(0,0.5,0,1)	
2	215000001	220000000	4.6	rgba(0,0,1,1)	
2	220000001	225000000	42.1	rgba(0,0.5,0,1)	
2	225000001	230000000	28.3	rgba(0,0.5,0,1)	
2	230000001	235000000	66.2	rgba(0,0.5,0,1)	
2	240000001	243199373	21.2	rgba(0,0.5,0,1)	
2	235000001	240000000	30.3	rgba(0,0.5,0,1)	
3	10000001	15000000	20.4	rgba(0,0.5,0,1)	
3	5000001	10000000	57.0	rgba(0,0.5,0,1)	
3	1	5000000	15.1	rgba(0,0,1,1)	
3	15000001	20000000	79.3	rgba(0,0.5,0,1)	
3	25000001	30000000	88.0	rgba(1,0,0,1)	88.0
3	20000001	25000000	61.7	rgba(0,0.5,0,1)	
3	30000001	35000000	48.8	rgba(0,0.5,0,1)	
3	35000001	40000000	72.2	rgba(0,0.5,0,1)	
3	40000001	45000000	69.2	rgba(0,0.5,0,1)	
3	45000001	50000000	36.2	rgba(0,0.5,0,1)	
3	50000001	55000000	59.3	rgba(0,0.5,0,1)	
3	55000001	60000000	61.9	rgba(0,0.5,0,1)	
3	90000001	95000000	11.3	rgba(0,0,1,1)	
3	60000001	65000000	36.5	rgba(0,0.5,0,1)	
3	70000001	75000000	55.8	rgba(0,0.5,0,1)	
3	65000001	70000000	34.8	rgba(0,0.5,0,1)	
3	85000001	90000000	53.1	rgba(0,0.5,0,1)	
3	75000001	80000000	3.3	rgba(0,0,1,1)	
3	80000001	85000000	45.3	rgba(0,0.5,0,1)	
3	100000001	105000000	11.7	rgba(0,0,1,1)	
3	95000001	100000000	20.9	rgba(0,0.5,0,1)	
3	105000001	110000000	6.9	rgba(0,0,1,1)	
3	110000001	115000000	52.2	rgba(0,0.5,0,1)	
3	115000001	120000000	27.0	rgba(0,0.5,0,1)	
3	120000001	125000000	56.5	rgba(0,0.5,0,1)	
3	125000001	130000000	67.1	rgba(0,0.5,0,1)	
3	130000001	135000000	63.8	rgba(0,0.5,0,1)	
3	135000001	140000000	34.1	rgba(0,0.5,0,1)	
3	140000001	145000000	43.6	rgba(0,0.5,0,1)	
3	145000001	150000000	3.1	rgba(0,0,1,1)	
3	150000001	155000000	41.9	rgba(0,0.5,0,1)	
3	155000001	160000000	30.5	rgba(0,0.5,0,1)	
3	160000001	165000000	28.2	rgba(0,0.5,0,1)	
3	165000001	170000000	14.7	rgba(0,0,1,1)	
3	170000001	175000000	65.1	rgba(0,0.5,0,1)	
3	175000001	180000000	12.5	rgba(0,0,1,1)	
3	195000001	198022430	47.4	rgba(0,0.5,0,1)	
3	185000001	190000000	38.0	rgba(0,0.5,0,1)	
3	180000001	185000000	42.2	rgba(0,0.5,0,1)	
3	190000001	195000000	6.6	rgba(0,0,1,1)	
4	10000001	15000000	56.3	rgba(0,0.5,0,1)	
4	1	5000000	32.8	rgba(0,0.5,0,1)	
4	5000001	10000000	31.5	rgba(0,0.5,0,1)	
4	50000001	55000000	7.4	rgba(0,0,1,1)	
4	15000001	20000000	48.9	rgba(0,0.5,0,1)	
4	20000001	25000000	45.2	rgba(0,0.5,0,1)	
4	25000001	30000000	98.0	rgba(1,0,0,1)	98.0
4	35000001	40000000	7.1	rgba(0,0,1,1)	
4	30000001	35000000	55.6	rgba(0,0.5,0,1)	
4	40000001	45000000	74.8	rgba(0,0.5,0,1)	
4	55000001	60000000	60.6	rgba(0,0.5,0,1)	
4	60000001	65000000	79.2	rgba(0,0.5,0,1)	
4	75000001	80000000	58.5	rgba(0,0.5,0,1)	
4	70000001	75000000	68.6	rgba(0,0.5,0,1)	
4	65000001	70000000	0.9	rgba(0,0,1,1)	
4	85000001	90000000	73.7	rgba(0,0.5,0,1)	
4	80000001	85000000	23.4	rgba(0,0.5,0,1)	
4	90000001	95000000	51.6	rgba(0,0.5,0,1)	
4	95000001	100000000	75.4	rgba(0,0.5,0,1)	
4	100000001	105000000	35.5	rgba(0,0.5,0,1)	
4	105000001	110000000	70.6	rgba(0,0.5,0,1)	
4	110000001	115000000	44.5	rgba(0,0.5,0,1)	
4	115000001	120000000	91.4	rgba(1,0,0,1)	91.4
4	120000001	125000000	34.4	rgba(0,0.5,0,1)	
4	125000001	130000000	2.9	rgba(0,0,1,1)	
4	130000001	135000000	39.1	rgba(0,0.5,0,1)	
4	140000001	145000000	59.4	rgba(0,0.5,0,1)	
4	135000001	140000000	7.4	rgba(0,0,1,1)	
4	145000001	150000000	1.4	rgba(0,0,1,1)	
4	155000001	160000000	49.8	rgba(0,0.5,0,1)	
4	160000001	165000000	1.2	rgba(0,0,1,1)	
4	150000001	155000000	60.9	rgba(0,0.5,0,1)	
4	190000001	191154276	95.0	rgba(1,0,0,1)	95.0
4	165000001	170000000	78.7	rgba(0,0.5,0,1)	
4	170000001	175000000	62.4	rgba(0,0.5,0,1)	
4	180000001	185000000	78.7	rgba(0,0.5,0,1)	
4	175000001	180000000	76.8	rgba(0,0.5,0,1)	
4	185000001	190000000	42.0	rgba(0,0.5,0,1)	
5	5000001	10000000	35.8	rgba(0,0.5,0,1)	
5	1	5000000	36.5	rgba(0,0.5,0,1)	
5	20000001	25000000	63.5	rgba(0,0.5,0,1)	
5	10000001	15000000	18.1	rgba(0,0,1,1)	
5	15000001	20000000	56.4	rgba(0,0.5,0,1)	
4	45000001	50000000	53.3	rgba(0,0.5,0,1)	
5	25000001	30000000	65.2	rgba(0,0.5,0,1)	
5	30000001	35000000	60.4	rgba(0,0.5,0,1)	
5	45000001	50000000	19.4	rgba(0,0,1,1)	
5	40000001	45000000	60.1	rgba(0,0.5,0,1)	
5	35000001	40000000	32.1	rgba(0,0.5,0,1)	
5	50000001	55000000	16.6	rgba(0,0,1,1)	
5	65000001	70000000	8.8	rgba(0,0,1,1)	
5	55000001	60000000	71.7	rgba(0,0.5,0,1)	
5	70000001	75000000	75.9	rgba(0,0.5,0,1)	
5	60000001	65000000	20.8	rgba(0,0.5,0,1)	
5	75000001	80000000	38.8	rgba(0,0.5,0,1)	
5	80000001	85000000	37.4	rgba(0,0.5,0,1)	
5	85000001	90000000	4.5	rgba(0,0,1,1)	
5	90000001	95000000	3.9	rgba(0,0,1,1)	
5	95000001	100000000	40.6	rgba(0,0.5,0,1)	
5	100000001	105000000	59.1	rgba(0,0.5,0,1)	
5	105000001	110000000	31.1	rgba(0,0.5,0,1)	
5	110000001	115000000	1.7	rgba(0,0,1,1)	
5	115000001	120000000	34.2	rgba(0,0.5,0,1)	
5	130000001	135000000	41.0	rgba(0,0.5,0,1)	
5	125000001	130000000	28.6	rgba(0,0.5,0,1)	
5	120000001	125000000	65.9	rgba(0,0.5,0,1)	
5	135000001	140000000	28.7	rgba(0,0.5,0,1)	
5	140000001	145000000	53.5	rgba(0,0.5,0,1)	
5	180000001	180915260	43.1	rgba(0,0.5,0,1)	
5	145000001	150000000	30.5	rgba(0,0.5,0,1)	
5	150000001	155000000	79.9	rgba(0,0.5,0,1)	
5	155000001	160000000	29.2	rgba(0,0.5,0,1)	
5	160000001	165000000	65.8	rgba(0,0.5,0,1)	
5	170000001	175000000	71.6	rgba(0,0.5,0,1)	
5	165000001	170000000	59.7	rgba(0,0.5,0,1)	
6	5000001	10000000	4.3	rgba(0,0,1,1)	
5	175000001	180000000	41.8	rgba(0,0.5,0,1)	
6	1	5000000	19.0	rgba(0,0,1,1)	
6	15000001	20000000	32.6	rgba(0,0.5,0,1)	
6	10000001	15000000	23.8	rgba(0,0.5,0,1)	
6	20000001	25000000	42.2	rgba(0,0.5,0,1)	
6	25000001	30000000	24.5	rgba(0,0.5,0,1)	
6	30000001	35000000	10.8	rgba(0,0,1,1)	
6	35000001	40000000	31.2	rgba(0,0.5,0,1)	
6	40000001	45000000	65.7	rgba(0,0.5,0,1)	
6	45000001	50000000	49.6	rgba(0,0.5,0,1)	
6	50000001	55000000	45.9	rgba(0,0.5,0,1)	
6	60000001	65000000	69.2	rgba(0,0.5,0,1)	
6	70000001	75000000	22.7	rgba(0,0.5,0,1)	
6	75000001	80000000	73.7	rgba(0,0.5,0,1)	
6	65000001	70000000	43.5	rgba(0,0.5,0,1)	
6	55000001	60000000	33.4	rgba(0,0.5,0,1)	
6	80000001	85000000	77.4	rgba(0,0.5,0,1)	
6	85000001	90000000	24.9	rgba(0,0.5,0,1)	
6	90000001	95000000	58.4	rgba(0,0.5,0,1)	
6	100000001	105000000	64.8	rgba(0,0.5,0,1)	
6	95000001	100000000	26.0	rgba(0,0.5,0,1)	
6	110000001	115000000	6.0	rgba(0,0,1,1)	
6	105000001	110000000	72.4	rgba(0,0.5,0,1)	
6	115000001	120000000	5.4	rgba(0,0,1,1)	
