ChrName	Start	End	Value	Color	Label
1	0	100000000	0	rgba(0,255,0,0.95)	
1	100000000	249250621	2	rgba(255,0,0,0.95)	cn2
1	200000000	249250621	0	rgba(0,255,0,0.95)	
2	0	243199373	0	rgba(0,255,0,0.95)	
3	0	198022430	0	rgba(0,255,0,0.95)	
4	0	191154276	0	rgba(0,255,0,0.95)	
5	0	180915260	0	rgba(0,255,0,0.95)	
#6	0	171115067	0	rgba(0,255,0,0.95)	
#7	0	159138663	0	rgba(0,255,0,0.95)	
#8	0	146364022	0	rgba(0,255,0,0.95)	
#9	0	141213431	0	rgba(0,255,0,0.95)	
#10	0	135534747	0	rgba(0,255,0,0.95)	
#11	0	135006516	0	rgba(0,255,0,0.95)	
12	0	133851895	0	rgba(0,255,0,0.95)	
13	0	115169878	0	rgba(0,255,0,0.95)	
14	0	107349540	0	rgba(0,255,0,0.95)	
15	0	102531392	0	rgba(0,255,0,0.95)	
16	0	90354753	0	rgba(0,255,0,0.95)	
17	0	81195210	0	rgba(0,255,0,0.95)	
18	0	78077248	0	rgba(0,255,0,0.95)	
19	0	59128983	0	rgba(0,255,0,0.95)	
20	0	63025520	0	rgba(0,255,0,0.95)	
21	0	48129895	0	rgba(0,255,0,0.95)	
22	0	51304566	0	rgba(0,255,0,0.95)	
X	0	55270560	0	rgba(0,255,0,0.95)	
X	55270560	100000000	1	rgba(255, 100,0,0.95)	cn1
X	100000000	155270560	0	rgba(0,255,0,0.95)	
Y	0	59373566	0	rgba(0,255,0,0.95)	
