ChrName	Start	End	Value	Color	Label
1	7500000	7500000	0.043	rgba(0,0,1,1)	
1	12500000	12500000	0.071	rgba(0,0,1,1)	
1	22500000	22500000	0.9790000000000001	rgba(1,0,0,1)	
1	27500000	27500000	0.5760000000000001	rgba(255,185,15,1)	
1	37500000	37500000	0.14800000000000002	rgba(255,185,15,1)	
1	42500000	42500000	0.904	rgba(1,0,0,1)	rs5
1	47500000	47500000	0.929	rgba(1,0,0,1)	rs6
1	32500000	32500000	0.040999999999999995	rgba(0,0,1,1)	
1	52500000	52500000	0.355	rgba(255,185,15,1)	
1	2500000	2500000	0.086	rgba(0,0,1,1)	
1	17500000	17500000	0.614	rgba(255,185,15,1)	
1	57500000	57500000	0.001	rgba(0,0,1,1)	
1	62500000	62500000	0.66	rgba(255,185,15,1)	
1	77500000	77500000	0.643	rgba(255,185,15,1)	
1	87500000	87500000	0.905	rgba(1,0,0,1)	rs14
1	82500000	82500000	0.9490000000000001	rgba(1,0,0,1)	rs15
1	92500000	92500000	0.23199999999999998	rgba(255,185,15,1)	
1	107500000	107500000	1.0	rgba(1,0,0,1)	rs17
1	127500000	127500000	0.9840000000000001	rgba(1,0,0,1)	
1	132500000	132500000	0.9620000000000001	rgba(1,0,0,1)	rs19
1	97500000	97500000	0.679	rgba(255,185,15,1)	
1	67500000	67500000	0.914	rgba(1,0,0,1)	rs21
1	72500000	72500000	0.9740000000000001	rgba(1,0,0,1)	
1	137500000	137500000	0.156	rgba(255,185,15,1)	
1	112500000	112500000	0.986	rgba(1,0,0,1)	
1	102500000	102500000	0.997	rgba(1,0,0,1)	rs25
1	117500000	117500000	0.6729999999999999	rgba(255,185,15,1)	
1	157500000	157500000	0.045	rgba(0,0,1,1)	
1	172500000	172500000	0.027000000000000003	rgba(0,0,1,1)	
1	177500000	177500000	0.449	rgba(255,185,15,1)	
1	142500000	142500000	0.332	rgba(255,185,15,1)	
1	187500000	187500000	0.998	rgba(1,0,0,1)	rs31
1	152500000	152500000	0.9129999999999999	rgba(1,0,0,1)	
1	167500000	167500000	0.44299999999999995	rgba(255,185,15,1)	
1	182500000	182500000	0.9940000000000001	rgba(1,0,0,1)	
1	147500000	147500000	0.653	rgba(255,185,15,1)	
1	162500000	162500000	0.561	rgba(255,185,15,1)	
1	192500000	192500000	0.885	rgba(255,185,15,1)	
1	122500000	122500000	0.306	rgba(255,185,15,1)	
1	202500000	202500000	0.408	rgba(255,185,15,1)	
1	207500000	207500000	0.009000000000000001	rgba(0,0,1,1)	
1	217500000	217500000	0.08199999999999999	rgba(0,0,1,1)	
1	222500000	222500000	0.086	rgba(0,0,1,1)	
1	232500000	232500000	0.064	rgba(0,0,1,1)	
1	197500000	197500000	0.158	rgba(255,185,15,1)	
1	237500000	237500000	0.418	rgba(255,185,15,1)	
1	212500000	212500000	0.359	rgba(255,185,15,1)	
1	227500000	227500000	0.6970000000000001	rgba(255,185,15,1)	
1	242500000	242500000	0.579	rgba(255,185,15,1)	
1	247125311	247125311	0.517	rgba(255,185,15,1)	
2	2500000	2500000	0.013999999999999999	rgba(0,0,1,1)	
2	7500000	7500000	0.45	rgba(255,185,15,1)	
2	12500000	12500000	0.8759999999999999	rgba(255,185,15,1)	
2	22500000	22500000	0.177	rgba(255,185,15,1)	
2	52500000	52500000	0.5710000000000001	rgba(255,185,15,1)	
2	17500000	17500000	0.046	rgba(0,0,1,1)	
2	27500000	27500000	0.982	rgba(1,0,0,1)	rs56
2	47500000	47500000	0.39	rgba(255,185,15,1)	
2	42500000	42500000	0.095	rgba(0,0,1,1)	
2	32500000	32500000	0.258	rgba(255,185,15,1)	
2	37500000	37500000	0.496	rgba(255,185,15,1)	
2	57500000	57500000	0.312	rgba(255,185,15,1)	
2	62500000	62500000	0.922	rgba(1,0,0,1)	
2	67500000	67500000	0.617	rgba(255,185,15,1)	
2	72500000	72500000	0.779	rgba(255,185,15,1)	
2	77500000	77500000	0.9520000000000001	rgba(1,0,0,1)	
2	112500000	112500000	0.7490000000000001	rgba(255,185,15,1)	
2	102500000	102500000	0.898	rgba(255,185,15,1)	
2	82500000	82500000	0.993	rgba(1,0,0,1)	
2	97500000	97500000	0.977	rgba(1,0,0,1)	
2	107500000	107500000	0.899	rgba(255,185,15,1)	
2	117500000	117500000	0.34700000000000003	rgba(255,185,15,1)	
2	87500000	87500000	0.049	rgba(0,0,1,1)	
2	122500000	122500000	0.03	rgba(0,0,1,1)	
2	127500000	127500000	0.589	rgba(255,185,15,1)	
2	137500000	137500000	0.9840000000000001	rgba(1,0,0,1)	
2	142500000	142500000	0.9590000000000001	rgba(1,0,0,1)	
2	147500000	147500000	0.779	rgba(255,185,15,1)	
2	152500000	152500000	0.731	rgba(255,185,15,1)	
2	92500000	92500000	0.69	rgba(255,185,15,1)	
2	157500000	157500000	0.08800000000000001	rgba(0,0,1,1)	
2	162500000	162500000	0.951	rgba(1,0,0,1)	
2	167500000	167500000	0.066	rgba(0,0,1,1)	
2	172500000	172500000	0.9940000000000001	rgba(1,0,0,1)	rs83
2	177500000	177500000	0.9990000000000001	rgba(1,0,0,1)	rs84
2	182500000	182500000	0.05	rgba(0,0,1,1)	
2	132500000	132500000	0.569	rgba(255,185,15,1)	
2	202500000	202500000	0.621	rgba(255,185,15,1)	
2	187500000	187500000	0.284	rgba(255,185,15,1)	
2	192500000	192500000	0.012	rgba(0,0,1,1)	
2	207500000	207500000	0.8740000000000001	rgba(255,185,15,1)	
2	197500000	197500000	0.434	rgba(255,185,15,1)	
2	212500000	212500000	0.8320000000000001	rgba(255,185,15,1)	
2	217500000	217500000	0.925	rgba(1,0,0,1)	
2	222500000	222500000	0.008	rgba(0,0,1,1)	
2	227500000	227500000	0.9329999999999999	rgba(1,0,0,1)	rs95
2	232500000	232500000	0.972	rgba(1,0,0,1)	
2	241599687	241599687	0.47700000000000004	rgba(255,185,15,1)	
2	237500000	237500000	0.037000000000000005	rgba(0,0,1,1)	
3	12500000	12500000	0.39399999999999996	rgba(255,185,15,1)	
3	7500000	7500000	0.41100000000000003	rgba(255,185,15,1)	
3	2500000	2500000	0.337	rgba(255,185,15,1)	
3	17500000	17500000	0.941	rgba(1,0,0,1)	
3	27500000	27500000	0.375	rgba(255,185,15,1)	
3	22500000	22500000	0.166	rgba(255,185,15,1)	
3	32500000	32500000	0.27	rgba(255,185,15,1)	
3	37500000	37500000	0.055	rgba(0,0,1,1)	
3	42500000	42500000	0.687	rgba(255,185,15,1)	
3	47500000	47500000	0.268	rgba(255,185,15,1)	
3	52500000	52500000	0.073	rgba(0,0,1,1)	
3	57500000	57500000	0.304	rgba(255,185,15,1)	
3	92500000	92500000	0.983	rgba(1,0,0,1)	rs111
3	62500000	62500000	0.27899999999999997	rgba(255,185,15,1)	
3	72500000	72500000	0.8079999999999999	rgba(255,185,15,1)	
3	67500000	67500000	0.907	rgba(1,0,0,1)	
3	87500000	87500000	0.099	rgba(0,0,1,1)	
3	77500000	77500000	0.8009999999999999	rgba(255,185,15,1)	
3	82500000	82500000	0.925	rgba(1,0,0,1)	rs117
3	102500000	102500000	0.18100000000000002	rgba(255,185,15,1)	
3	97500000	97500000	0.027999999999999997	rgba(0,0,1,1)	
3	107500000	107500000	0.019	rgba(0,0,1,1)	
3	112500000	112500000	0.5660000000000001	rgba(255,185,15,1)	
3	117500000	117500000	0.599	rgba(255,185,15,1)	
3	122500000	122500000	0.773	rgba(255,185,15,1)	
3	127500000	127500000	0.746	rgba(255,185,15,1)	
3	132500000	132500000	0.725	rgba(255,185,15,1)	
3	137500000	137500000	0.8290000000000001	rgba(255,185,15,1)	
3	142500000	142500000	0.9259999999999999	rgba(1,0,0,1)	
3	147500000	147500000	0.043	rgba(0,0,1,1)	
3	152500000	152500000	0.927	rgba(1,0,0,1)	
3	157500000	157500000	0.062	rgba(0,0,1,1)	
3	162500000	162500000	0.99	rgba(1,0,0,1)	rs131
3	167500000	167500000	0.565	rgba(255,185,15,1)	
3	172500000	172500000	0.247	rgba(255,185,15,1)	
3	177500000	177500000	0.091	rgba(0,0,1,1)	
3	196511215	196511215	0.519	rgba(255,185,15,1)	
3	187500000	187500000	0.888	rgba(255,185,15,1)	
3	182500000	182500000	0.6970000000000001	rgba(255,185,15,1)	
3	192500000	192500000	0.021	rgba(0,0,1,1)	
4	12500000	12500000	0.975	rgba(1,0,0,1)	
4	2500000	2500000	0.85	rgba(255,185,15,1)	
4	7500000	7500000	0.579	rgba(255,185,15,1)	
4	52500000	52500000	0.89	rgba(255,185,15,1)	
4	17500000	17500000	0.583	rgba(255,185,15,1)	
4	22500000	22500000	0.414	rgba(255,185,15,1)	
4	27500000	27500000	0.9640000000000001	rgba(1,0,0,1)	
4	37500000	37500000	0.054000000000000006	rgba(0,0,1,1)	
4	32500000	32500000	0.121	rgba(255,185,15,1)	
4	42500000	42500000	0.09699999999999999	rgba(0,0,1,1)	
4	57500000	57500000	0.94	rgba(1,0,0,1)	
4	62500000	62500000	0.685	rgba(255,185,15,1)	
4	77500000	77500000	0.042	rgba(0,0,1,1)	
4	72500000	72500000	0.9670000000000001	rgba(1,0,0,1)	
4	67500000	67500000	0.9620000000000001	rgba(1,0,0,1)	
4	87500000	87500000	0.182	rgba(255,185,15,1)	
4	82500000	82500000	0.09	rgba(0,0,1,1)	
4	92500000	92500000	0.327	rgba(255,185,15,1)	
4	97500000	97500000	0.057999999999999996	rgba(0,0,1,1)	
4	102500000	102500000	0.6679999999999999	rgba(255,185,15,1)	
4	107500000	107500000	0.924	rgba(1,0,0,1)	rs159
4	112500000	112500000	0.943	rgba(1,0,0,1)	rs160
4	117500000	117500000	0.073	rgba(0,0,1,1)	
4	122500000	122500000	0.871	rgba(255,185,15,1)	
4	127500000	127500000	0.723	rgba(255,185,15,1)	
4	132500000	132500000	0.044000000000000004	rgba(0,0,1,1)	
4	142500000	142500000	0.024	rgba(0,0,1,1)	
4	137500000	137500000	0.016	rgba(0,0,1,1)	
4	147500000	147500000	0.953	rgba(1,0,0,1)	
4	157500000	157500000	0.457	rgba(255,185,15,1)	
4	162500000	162500000	0.479	rgba(255,185,15,1)	
4	152500000	152500000	0.951	rgba(1,0,0,1)	
4	190577138	190577138	0.253	rgba(255,185,15,1)	
4	167500000	167500000	0.266	rgba(255,185,15,1)	
4	172500000	172500000	0.531	rgba(255,185,15,1)	
4	182500000	182500000	0.09	rgba(0,0,1,1)	
4	177500000	177500000	0.188	rgba(255,185,15,1)	
4	187500000	187500000	0.483	rgba(255,185,15,1)	
5	7500000	7500000	0.49700000000000005	rgba(255,185,15,1)	
5	2500000	2500000	0.865	rgba(255,185,15,1)	
5	22500000	22500000	0.062	rgba(0,0,1,1)	
5	12500000	12500000	0.498	rgba(255,185,15,1)	
5	17500000	17500000	0.113	rgba(255,185,15,1)	
4	47500000	47500000	0.882	rgba(255,185,15,1)	
5	27500000	27500000	0.221	rgba(255,185,15,1)	
5	32500000	32500000	0.664	rgba(255,185,15,1)	
5	47500000	47500000	0.461	rgba(255,185,15,1)	
5	42500000	42500000	0.652	rgba(255,185,15,1)	
5	37500000	37500000	0.812	rgba(255,185,15,1)	
5	52500000	52500000	0.17300000000000001	rgba(255,185,15,1)	
5	67500000	67500000	0.917	rgba(1,0,0,1)	rs189
5	57500000	57500000	0.9209999999999999	rgba(1,0,0,1)	
5	72500000	72500000	0.914	rgba(1,0,0,1)	rs191
5	62500000	62500000	0.812	rgba(255,185,15,1)	
5	77500000	77500000	0.057	rgba(0,0,1,1)	
5	82500000	82500000	0.929	rgba(1,0,0,1)	
5	87500000	87500000	0.017	rgba(0,0,1,1)	
5	92500000	92500000	0.9329999999999999	rgba(1,0,0,1)	
5	97500000	97500000	0.435	rgba(255,185,15,1)	
5	102500000	102500000	0.053	rgba(0,0,1,1)	
5	107500000	107500000	0.878	rgba(255,185,15,1)	
5	112500000	112500000	0.059000000000000004	rgba(0,0,1,1)	
5	117500000	117500000	0.991	rgba(1,0,0,1)	
5	132500000	132500000	0.287	rgba(255,185,15,1)	
5	127500000	127500000	0.973	rgba(1,0,0,1)	rs203
5	122500000	122500000	0.795	rgba(255,185,15,1)	
5	137500000	137500000	0.502	rgba(255,185,15,1)	
5	142500000	142500000	0.263	rgba(255,185,15,1)	
5	180457630	180457630	0.66	rgba(255,185,15,1)	
5	147500000	147500000	0.099	rgba(0,0,1,1)	
5	152500000	152500000	0.488	rgba(255,185,15,1)	
5	157500000	157500000	0.768	rgba(255,185,15,1)	
5	162500000	162500000	0.963	rgba(1,0,0,1)	
5	172500000	172500000	0.156	rgba(255,185,15,1)	
5	167500000	167500000	0.217	rgba(255,185,15,1)	
6	7500000	7500000	0.065	rgba(0,0,1,1)	
5	177500000	177500000	0.087	rgba(0,0,1,1)	
6	2500000	2500000	0.91	rgba(1,0,0,1)	rs216
6	17500000	17500000	0.703	rgba(255,185,15,1)	
6	12500000	12500000	0.732	rgba(255,185,15,1)	
6	22500000	22500000	0.968	rgba(1,0,0,1)	
6	27500000	27500000	0.366	rgba(255,185,15,1)	
6	32500000	32500000	0.024	rgba(0,0,1,1)	
6	37500000	37500000	0.013000000000000001	rgba(0,0,1,1)	
6	42500000	42500000	0.8809999999999999	rgba(255,185,15,1)	
6	47500000	47500000	0.26899999999999996	rgba(255,185,15,1)	
6	52500000	52500000	0.406	rgba(255,185,15,1)	
6	62500000	62500000	0.034	rgba(0,0,1,1)	
6	72500000	72500000	0.33	rgba(255,185,15,1)	
6	77500000	77500000	0.983	rgba(1,0,0,1)	
6	67500000	67500000	0.9940000000000001	rgba(1,0,0,1)	
6	57500000	57500000	0.498	rgba(255,185,15,1)	
6	82500000	82500000	0.955	rgba(1,0,0,1)	
6	87500000	87500000	0.045	rgba(0,0,1,1)	
6	92500000	92500000	0.857	rgba(255,185,15,1)	
6	102500000	102500000	0.14300000000000002	rgba(255,185,15,1)	
6	97500000	97500000	0.263	rgba(255,185,15,1)	
6	112500000	112500000	0.943	rgba(1,0,0,1)	
6	107500000	107500000	0.121	rgba(255,185,15,1)	
6	117500000	117500000	0.07400000000000001	rgba(0,0,1,1)	
6	122500000	122500000	0.195	rgba(255,185,15,1)	
6	132500000	132500000	0.40299999999999997	rgba(255,185,15,1)	
6	127500000	127500000	0.004	rgba(0,0,1,1)	
6	170557534	170557534	0.976	rgba(1,0,0,1)	
6	137500000	137500000	0.94	rgba(1,0,0,1)	rs243
6	142500000	142500000	0.262	rgba(255,185,15,1)	
6	147500000	147500000	0.005	rgba(0,0,1,1)	
6	152500000	152500000	0.6579999999999999	rgba(255,185,15,1)	
6	157500000	157500000	0.682	rgba(255,185,15,1)	
6	167500000	167500000	0.88	rgba(255,185,15,1)	
6	162500000	162500000	0.036000000000000004	rgba(0,0,1,1)	
7	22500000	22500000	0.9740000000000001	rgba(1,0,0,1)	
7	12500000	12500000	0.156	rgba(255,185,15,1)	
7	7500000	7500000	0.166	rgba(255,185,15,1)	
7	2500000	2500000	0.6459999999999999	rgba(255,185,15,1)	
7	17500000	17500000	0.996	rgba(1,0,0,1)	
7	27500000	27500000	0.7070000000000001	rgba(255,185,15,1)	
7	32500000	32500000	0.8190000000000001	rgba(255,185,15,1)	
7	42500000	42500000	0.904	rgba(1,0,0,1)	
7	37500000	37500000	0.736	rgba(255,185,15,1)	
7	47500000	47500000	0.285	rgba(255,185,15,1)	
7	52500000	52500000	0.9570000000000001	rgba(1,0,0,1)	rs260
7	57500000	57500000	0.491	rgba(255,185,15,1)	
7	87500000	87500000	0.244	rgba(255,185,15,1)	
7	72500000	72500000	0.7120000000000001	rgba(255,185,15,1)	
7	67500000	67500000	0.8170000000000001	rgba(255,185,15,1)	
7	82500000	82500000	0.9940000000000001	rgba(1,0,0,1)	
7	92500000	92500000	0.465	rgba(255,185,15,1)	
7	77500000	77500000	0.079	rgba(0,0,1,1)	
7	97500000	97500000	0.687	rgba(255,185,15,1)	
7	62500000	62500000	0.027999999999999997	rgba(0,0,1,1)	
7	107500000	107500000	0.47100000000000003	rgba(255,185,15,1)	
7	112500000	112500000	0.08199999999999999	rgba(0,0,1,1)	
7	102500000	102500000	0.978	rgba(1,0,0,1)	
7	117500000	117500000	0.9590000000000001	rgba(1,0,0,1)	
7	122500000	122500000	0.193	rgba(255,185,15,1)	
7	127500000	127500000	0.938	rgba(1,0,0,1)	
7	132500000	132500000	0.059000000000000004	rgba(0,0,1,1)	
7	137500000	137500000	0.013999999999999999	rgba(0,0,1,1)	
7	142500000	142500000	0.096	rgba(0,0,1,1)	
7	147500000	147500000	0.9209999999999999	rgba(1,0,0,1)	rs279
7	157069332	157069332	0.9890000000000001	rgba(1,0,0,1)	
7	152500000	152500000	0.21600000000000003	rgba(255,185,15,1)	
8	2500000	2500000	0.077	rgba(0,0,1,1)	
8	7500000	7500000	0.924	rgba(1,0,0,1)	
8	17500000	17500000	0.866	rgba(255,185,15,1)	
8	12500000	12500000	0.022000000000000002	rgba(0,0,1,1)	
8	22500000	22500000	0.9159999999999999	rgba(1,0,0,1)	rs286
8	27500000	27500000	0.293	rgba(255,185,15,1)	
8	32500000	32500000	0.139	rgba(255,185,15,1)	
8	37500000	37500000	0.972	rgba(1,0,0,1)	
8	52500000	52500000	0.07400000000000001	rgba(0,0,1,1)	
8	57500000	57500000	0.985	rgba(1,0,0,1)	rs291
8	47500000	47500000	0.049	rgba(0,0,1,1)	
8	77500000	77500000	0.9570000000000001	rgba(1,0,0,1)	
8	72500000	72500000	0.87	rgba(255,185,15,1)	
8	67500000	67500000	0.516	rgba(255,185,15,1)	
8	62500000	62500000	0.86	rgba(255,185,15,1)	
8	82500000	82500000	0.222	rgba(255,185,15,1)	
8	42500000	42500000	0.7070000000000001	rgba(255,185,15,1)	
8	92500000	92500000	0.956	rgba(1,0,0,1)	rs299
8	97500000	97500000	0.507	rgba(255,185,15,1)	
8	102500000	102500000	0.9179999999999999	rgba(1,0,0,1)	
8	112500000	112500000	0.023	rgba(0,0,1,1)	
8	87500000	87500000	0.748	rgba(255,185,15,1)	
8	145682011	145682011	0.17600000000000002	rgba(255,185,15,1)	
8	107500000	107500000	0.23600000000000002	rgba(255,185,15,1)	
8	117500000	117500000	0.914	rgba(1,0,0,1)	rs306
8	122500000	122500000	0.185	rgba(255,185,15,1)	
8	127500000	127500000	0.9059999999999999	rgba(1,0,0,1)	
8	132500000	132500000	0.9079999999999999	rgba(1,0,0,1)	
8	137500000	137500000	0.166	rgba(255,185,15,1)	
9	52500000	52500000	0.948	rgba(1,0,0,1)	
9	57500000	57500000	0.748	rgba(255,185,15,1)	
9	2500000	2500000	0.33299999999999996	rgba(255,185,15,1)	
9	62500000	62500000	0.922	rgba(1,0,0,1)	
9	47500000	47500000	0.907	rgba(1,0,0,1)	
8	142500000	142500000	0.086	rgba(0,0,1,1)	
9	7500000	7500000	0.917	rgba(1,0,0,1)	
9	12500000	12500000	0.757	rgba(255,185,15,1)	
9	17500000	17500000	0.981	rgba(1,0,0,1)	rs319
9	22500000	22500000	0.9329999999999999	rgba(1,0,0,1)	rs320
9	42500000	42500000	0.912	rgba(1,0,0,1)	rs321
9	32500000	32500000	0.042	rgba(0,0,1,1)	
9	37500000	37500000	0.07200000000000001	rgba(0,0,1,1)	
9	27500000	27500000	0.026000000000000002	rgba(0,0,1,1)	
9	77500000	77500000	0.768	rgba(255,185,15,1)	
9	82500000	82500000	0.9159999999999999	rgba(1,0,0,1)	rs326
9	92500000	92500000	0.021	rgba(0,0,1,1)	
9	87500000	87500000	0.193	rgba(255,185,15,1)	
9	97500000	97500000	0.775	rgba(255,185,15,1)	
9	72500000	72500000	0.6559999999999999	rgba(255,185,15,1)	
9	102500000	102500000	0.068	rgba(0,0,1,1)	
9	107500000	107500000	0.981	rgba(1,0,0,1)	
9	112500000	112500000	0.023	rgba(0,0,1,1)	
9	140606716	140606716	0.82	rgba(255,185,15,1)	
9	117500000	117500000	0.49200000000000005	rgba(255,185,15,1)	
9	122500000	122500000	0.5529999999999999	rgba(255,185,15,1)	
9	132500000	132500000	0.105	rgba(255,185,15,1)	
9	137500000	137500000	0.852	rgba(255,185,15,1)	
9	127500000	127500000	0.568	rgba(255,185,15,1)	
10	2500000	2500000	0.24100000000000002	rgba(255,185,15,1)	
10	7500000	7500000	0.878	rgba(255,185,15,1)	
9	67500000	67500000	0.16399999999999998	rgba(255,185,15,1)	
10	12500000	12500000	0.242	rgba(255,185,15,1)	
10	32500000	32500000	0.004	rgba(0,0,1,1)	
10	17500000	17500000	0.514	rgba(255,185,15,1)	
10	27500000	27500000	0.77	rgba(255,185,15,1)	
10	22500000	22500000	0.907	rgba(1,0,0,1)	
10	47500000	47500000	0.943	rgba(1,0,0,1)	
10	52500000	52500000	0.698	rgba(255,185,15,1)	
10	37500000	37500000	0.024	rgba(0,0,1,1)	
10	57500000	57500000	0.968	rgba(1,0,0,1)	
10	77500000	77500000	0.08199999999999999	rgba(0,0,1,1)	
10	67500000	67500000	0.057999999999999996	rgba(0,0,1,1)	
10	62500000	62500000	0.991	rgba(1,0,0,1)	
10	72500000	72500000	0.998	rgba(1,0,0,1)	
10	82500000	82500000	0.033	rgba(0,0,1,1)	
10	87500000	87500000	0.914	rgba(1,0,0,1)	
10	92500000	92500000	0.917	rgba(1,0,0,1)	
10	135267374	135267374	0.927	rgba(1,0,0,1)	
10	97500000	97500000	0.13699999999999998	rgba(255,185,15,1)	
10	102500000	102500000	0.608	rgba(255,185,15,1)	
10	107500000	107500000	0.419	rgba(255,185,15,1)	
10	112500000	112500000	0.009000000000000001	rgba(0,0,1,1)	
10	122500000	122500000	0.9590000000000001	rgba(1,0,0,1)	rs364
10	117500000	117500000	0.838	rgba(255,185,15,1)	
10	127500000	127500000	0.982	rgba(1,0,0,1)	
11	2500000	2500000	0.9079999999999999	rgba(1,0,0,1)	
11	7500000	7500000	0.011000000000000001	rgba(0,0,1,1)	
10	132500000	132500000	0.069	rgba(0,0,1,1)	
11	12500000	12500000	0.76	rgba(255,185,15,1)	
11	17500000	17500000	0.929	rgba(1,0,0,1)	
11	22500000	22500000	0.983	rgba(1,0,0,1)	
11	27500000	27500000	0.8220000000000001	rgba(255,185,15,1)	
