ChrName	Start	End	Value	Color	Label
1	7500000	7500000	0.596	rgba(255,185,15,1)	
1	12500000	12500000	0.987	rgba(1,0,0,1)	
1	22500000	22500000	0.9890000000000001	rgba(1,0,0,1)	
1	27500000	27500000	0.479	rgba(255,185,15,1)	
1	37500000	37500000	0.495	rgba(255,185,15,1)	
1	42500000	42500000	0.972	rgba(1,0,0,1)	rs5
1	47500000	47500000	0.924	rgba(1,0,0,1)	rs6
1	32500000	32500000	0.138	rgba(255,185,15,1)	
1	52500000	52500000	0.7959999999999999	rgba(255,185,15,1)	
1	2500000	2500000	0.922	rgba(1,0,0,1)	
1	17500000	17500000	0.305	rgba(255,185,15,1)	
1	57500000	57500000	0.073	rgba(0,0,1,1)	
1	62500000	62500000	0.914	rgba(1,0,0,1)	
1	77500000	77500000	0.535	rgba(255,185,15,1)	
1	87500000	87500000	0.019	rgba(0,0,1,1)	
1	82500000	82500000	0.028999999999999998	rgba(0,0,1,1)	
1	92500000	92500000	0.59	rgba(255,185,15,1)	
1	107500000	107500000	0.883	rgba(255,185,15,1)	
1	127500000	127500000	0.43799999999999994	rgba(255,185,15,1)	
1	132500000	132500000	0.9159999999999999	rgba(1,0,0,1)	rs19
1	97500000	97500000	0.9840000000000001	rgba(1,0,0,1)	
1	67500000	67500000	0.048	rgba(0,0,1,1)	
1	72500000	72500000	0.21899999999999997	rgba(255,185,15,1)	
1	137500000	137500000	0.034	rgba(0,0,1,1)	
1	112500000	112500000	0.83	rgba(255,185,15,1)	
1	102500000	102500000	0.053	rgba(0,0,1,1)	
1	117500000	117500000	0.36700000000000005	rgba(255,185,15,1)	
1	157500000	157500000	0.836	rgba(255,185,15,1)	
1	172500000	172500000	0.026000000000000002	rgba(0,0,1,1)	
1	177500000	177500000	0.252	rgba(255,185,15,1)	
1	142500000	142500000	0.32799999999999996	rgba(255,185,15,1)	
1	187500000	187500000	0.032	rgba(0,0,1,1)	
1	152500000	152500000	0.9109999999999999	rgba(1,0,0,1)	
1	167500000	167500000	0.077	rgba(0,0,1,1)	
1	182500000	182500000	0.9470000000000001	rgba(1,0,0,1)	
1	147500000	147500000	0.222	rgba(255,185,15,1)	
1	162500000	162500000	0.069	rgba(0,0,1,1)	
1	192500000	192500000	0.682	rgba(255,185,15,1)	
1	122500000	122500000	0.9109999999999999	rgba(1,0,0,1)	
1	202500000	202500000	0.531	rgba(255,185,15,1)	
1	207500000	207500000	0.369	rgba(255,185,15,1)	
1	217500000	217500000	0.083	rgba(0,0,1,1)	
1	222500000	222500000	0.475	rgba(255,185,15,1)	
1	232500000	232500000	0.268	rgba(255,185,15,1)	
1	197500000	197500000	0.9059999999999999	rgba(1,0,0,1)	
1	237500000	237500000	0.9079999999999999	rgba(1,0,0,1)	
1	212500000	212500000	0.046	rgba(0,0,1,1)	
1	227500000	227500000	0.956	rgba(1,0,0,1)	
1	242500000	242500000	0.99	rgba(1,0,0,1)	
1	247125311	247125311	0.092	rgba(0,0,1,1)	
2	2500000	2500000	0.93	rgba(1,0,0,1)	
2	7500000	7500000	0.35100000000000003	rgba(255,185,15,1)	
2	12500000	12500000	0.037000000000000005	rgba(0,0,1,1)	
2	22500000	22500000	0.938	rgba(1,0,0,1)	
2	52500000	52500000	0.017	rgba(0,0,1,1)	
2	17500000	17500000	0.9440000000000001	rgba(1,0,0,1)	rs55
2	27500000	27500000	0.292	rgba(255,185,15,1)	
2	47500000	47500000	0.012	rgba(0,0,1,1)	
2	42500000	42500000	0.035	rgba(0,0,1,1)	
2	32500000	32500000	0.055999999999999994	rgba(0,0,1,1)	
2	37500000	37500000	0.602	rgba(255,185,15,1)	
2	57500000	57500000	0.762	rgba(255,185,15,1)	
2	62500000	62500000	0.975	rgba(1,0,0,1)	
2	67500000	67500000	0.35700000000000004	rgba(255,185,15,1)	
2	72500000	72500000	0.529	rgba(255,185,15,1)	
2	77500000	77500000	0.917	rgba(1,0,0,1)	
2	112500000	112500000	0.9620000000000001	rgba(1,0,0,1)	
2	102500000	102500000	0.004	rgba(0,0,1,1)	
2	82500000	82500000	0.095	rgba(0,0,1,1)	
2	97500000	97500000	0.165	rgba(255,185,15,1)	
2	107500000	107500000	0.045	rgba(0,0,1,1)	
2	117500000	117500000	0.079	rgba(0,0,1,1)	
